damel,时间,省,流域,河名,库水位(米),站点编号,站名,蓄水量(百万3),入库(米3/秒)
1153,2023-04-11 08:00:00,山西省,海河,清漳西源,1140.3,31009850,石匣,15,1
2610,2023-04-11 08:00:00,青海省,黄河,黄河,2580.34,40100400,龙羊峡,16730,0
1160,2023-04-11 08:00:00,宁夏回族自治区,黄河,黄河,1156.05,40102050,青铜峡水库,39,610
982,2023-04-11 08:00:00,,黄河,黄河,975.54,40103458,万家寨上,491,745
353,2023-04-11 08:00:00,河南省,黄河,黄河,317.95,40104430,史家滩,629,0
281,2023-04-11 08:00:00,河南省,黄河,黄河,261.49,40104690,小浪底水库,5976,0
2986,2023-04-11 08:00:00,青海省,黄河,巴燕河,2982.7,40400120,东大滩,22,0
2641,2023-04-11 08:00:00,青海省,黄河,大南川河,2624.9,40405700,大南川,4,0
1190,2023-04-11 08:00:00,陕西省,黄河,杏子河,1180.04,40606550,王瑶,6,1
1439,2023-04-11 08:00:00,陕西省,黄河,西芦河,1425.43,40801600,猪头山,4,0
1266,2023-04-11 08:00:00,陕西省,黄河,芦河,1142.85,40801780,河口庙,6,4
1094,2023-04-11 08:00:00,陕西省,黄河,榆溪河,1088.81,40802050,红石峡库,1,7
1099,2023-04-11 08:00:00,陕西省,黄河,榆溪河,1093.26,40802150,尤家峁,10,0
615,2023-04-11 08:00:00,陕西省,黄河,居水,598.88,40900150,薛峰,14,1
657,2023-04-11 08:00:00,河南省,黄河,宏农涧河,640.36,40902500,窄口,94,4
1131,2023-04-11 08:00:00,山西省,黄河,汾河,1121.23,41000500,汾河水库,131,0
841,2023-04-11 08:00:00,山西省,黄河,文峪河,828.53,41007100,文峪河水库,32,8
1090,2023-04-11 08:00:00,陕西省,黄河,千河,1081.54,41104680,段家峡,8,2
716,2023-04-11 08:00:00,陕西省,黄河,千河,706.97,41105150,冯家山,202,6
605,2023-04-11 08:00:00,陕西省,黄河,千河,599.47,41105350,王家崖,23,5
808,2023-04-11 08:00:00,陕西省,黄河,石头河,766.76,41105500,石头河,39,18
646,2023-04-11 08:00:00,陕西省,黄河,漆水河,630.89,41106400,羊毛湾,39,1
600,2023-04-11 08:00:00,陕西省,黄河,黑河,574.08,41107180,金盆,110,21
735,2023-04-11 08:00:00,陕西省,黄河,石砭峪,726.4,41107950,石砭峪,21,4
792,2023-04-11 08:00:00,陕西省,黄河,沮河,776.16,41109450,桃曲坡,13,3
411,2023-04-11 08:00:00,陕西省,黄河,沋河,403.19,41110550,沋河,8,1
1126,2023-04-11 08:00:00,甘肃省,黄河,蒲河,1112.09,41202690,巴家嘴水库,1,0
