时间,水位,W,RWPTN,入库,出库,RSVRTP,HHRZ,HHRZTM,汛限水位,比讯限,ADDVCD站名,DRNA,FRGRD,HNNM,LGTD,LTTD,河流,站点编号,站点位置,站名,STTP,HN_NUM
2023-04-15T00:00:00.000Z,92.37,6.37,4,-,-,3,-,,92.7,-0.33,430381,,2,湘江,112.3658,27.57886,虞塘河,611K2630,湘潭市湘乡市虞唐镇,赤石,RR,1
2023-04-15T08:00:00.000Z,221.64,,,479.12,618.36,3,-,,222.0,-0.36,430523,,2,资水,111.2986,27.08606,资水,612K0333,邵阳市邵阳县小溪市乡,孔雀滩,RR,2
2023-04-15T08:00:00.000Z,138.63,49.94,,322.36,197.36,4,139.99,2013-05-20T16:00:00.000Z,139.0,-0.37,431223,,2,沅水,110.2051,27.8844,沅水,613K1116,怀化市辰溪县仙人湾瑶族乡,清水塘,RR,3
2023-04-15T00:00:00.000Z,154.62,8.64,4,84.00,84.00,3,-,,155.0,-0.38,430802,,2,澧水,110.5193,29.12739,澧水,614K0002,张家界市永定区西溪坪街道胡家河社区,红壁岩,RR,4
2023-04-15T00:00:00.000Z,354.50,2.105,4,2.50,2.60,2,-,,355.0,-0.50,431081,763.0,2,湘江,113.446365,25.577748,浙水,611K0961,郴州市资兴市黄草镇,过船轮,RR,1
2023-04-15T00:00:00.000Z,126.00,10.88,6,10.00,10.00,3,-,,126.5,-0.50,430821,,2,澧水,110.8136,29.50517,溇水,614K0211,张家界市慈利县江垭镇,关门岩,RR,4
2023-04-15T00:00:00.000Z,191.97,7.32,4,39.30,39.30,3,-,,192.5,-0.53,431225,,2,沅水,109.99,27.00222,巫水,613K1307,怀化市会同县若水镇,若水,RR,3
2023-04-15T08:00:00.000Z,164.41,,,539.40,400.51,4,-,,165.0,-0.59,431281,40101.0,2,沅水,110.1,27.283333,沅水,613K1924,怀化市洪江市太平乡,安江,RR,3
2023-04-15T01:44:00.000Z,114.40,44.64,4,25.00,40.00,3,-,,115.0,-0.60,430821,,2,澧水,111.0234,29.46581,溇水,614K0207,张家界市慈利县金慈街道饭甑山村,长潭河,RR,4
2023-04-15T00:00:00.000Z,256.40,25.16,5,66.00,80.00,3,-,,257.0,-0.60,433124,2151.0,2,沅水,109.471944,28.595278,花垣河,613K0307,湘西州花垣县花垣镇,竹篙滩,RR,3
2023-04-15T08:00:00.000Z,174.40,,,480.85,544.18,3,-,,175.0,-0.60,431381,16260.0,2,资水,111.433806,27.67925,资水,612K1801,娄底市冷水江市冷水江街道,浪石滩,RR,2
2023-04-15T08:00:00.000Z,117.21,24.81,,677.46,624.68,3,-,,118.0,-0.79,431222,,2,沅水,110.3503,28.62722,酉水,613K1013,怀化市沅陵县明溪口镇,高滩,RR,3
2023-04-15T00:00:00.000Z,1057.72,6.33,5,0.65,0.25,3,-,,1058.6,-0.88,431027,19.0,2,湘江,113.943083,26.128333,耒水,611K0800,郴州市桂东县沤江镇沤菜水库,沤菜,RR,1
2023-04-15T00:00:00.000Z,243.00,6.25,,-,-,3,-,,244.0,-1.00,431228,,2,沅水,109.7041,27.43075,舞水,613K1625,怀化市芷江侗族自治县岩桥镇,和平,RR,3
2023-04-15T00:00:00.000Z,35.96,8.74,4,-,-,3,-,,36.97,-1.01,430112,17.0,2,湘江,112.690222,28.413278,沩水,611K1903,长沙市望城区格塘乡,格塘,RR,1
2023-04-15T08:00:00.000Z,67.43,248.8,,282.70,171.60,4,71.85,1982-06-18T16:00:00.000Z,68.5,-1.07,360502,3900.0,1,赣江,114.8257,27.7362,袁水,62311050,江西省新余市渝水区仙女湖区河下镇江口村,江口水库,RR,8
2023-04-15T00:00:00.000Z,94.35,8.45,5,80.00,70.00,3,-,,95.5,-1.15,430821,6201.0,2,澧水,111.075778,29.411944,澧水,614K2521,张家界市慈利县金慈街道茶庵村,茶庵,RR,4
2023-04-15T00:00:00.000Z,206.93,14.6,5,13.00,-,3,210.05,2008-07-22T00:00:00.000Z,208.2,-1.27,430726,716.0,2,澧水,110.866417,29.922861,渫水,61402230,常德市石门县所街乡,张家渡,RR,4
2023-04-15T00:00:00.000Z,103.07,8.01,4,35.00,35.00,3,-,,104.4,-1.33,431028,,2,湘江,113.3139,26.67108,永乐江,611K0855,郴州市安仁县永乐江镇,大石,RR,1
2023-04-15T08:00:00.000Z,208.61,,,75.38,75.38,3,-,,210.0,-1.39,431226,,2,沅水,109.5525,27.73458,辰水,613K1418,怀化市麻阳苗族自治县锦和镇,铜信溪,RR,3
2023-04-15T00:00:00.000Z,71.84,6.833,4,0.50,2.70,3,-,,73.24,-1.40,430602,1.0,2,洞庭湖,113.338236,29.309785,游港河,615K0011,岳阳市岳阳楼区经开区西塘镇兰桥村,兰桥,RR,5
