时间,水位,流量,WPTN,警戒水位,OBHTZ,OBHTZTM,比警戒,HIS,ADDVCD,市,ATCUNIT,BGFRYM,主流,基本站,DRNA,DSTRVM,DTMEL,基准面,DTPR,ESSTYM,FRGRD,支流,LGTD,LOCALITY,LTTD,MODITIME,PHCD,河名,STAZT,STBK,STCD,站点编号,站点位置,站名站点类型,USFL,HN_NUM
2023-04-15T08:00:00.000Z,212.28,10.6,6,214.5,-,,-2.22,NaN,440281,韶关水情分中心,,,珠江,广东水文,-,,,,,,4,北江,112.9925,广东水文,25.145278,2019-10-29T10:09:31.000Z,ZZSX,辽思水,315.0,1,81002073,广东省韶关市乐昌市秀水镇,橼子树下,ZZ,1,8
2023-04-15T07:55:00.000Z,662.77,0.679,,665,665.85,1985-06-03T16:00:00.000Z,-2.23,-3.08,522622,黔东南水文,贵州水文,198201,长江,贵州水文,292,384.0,,黄海,,198201,1,沅水,107.7688,贵州水文,26.98742,2019-10-29T10:09:58.000Z,JZ,舞阳河,180.0,1,61304900,贵州省黔东南黄平县旧州镇老里坝村,旧州,ZQ,1,3
2023-04-15T08:00:00.000Z,126.26,526,,128.5,131.08,2008-06-13T16:00:00.000Z,-2.24,-4.82,431123,永州,水文,196004,长江,基本站,10599,68.0,-1.749,冻结(黄海),,196001,1,湘江,111.683333,湖南水文,25.966667,2023-04-14T05:11:42.000Z,SP,潇水,,0,61103500,永州市双牌县泷泊镇双电东路101号,双牌,ZQ,1,1
2023-04-15T08:00:00.000Z,44.26,37.3,6,46.5,50.63,2016-06-15T16:00:00.000Z,-2.24,-6.37,430321,湘潭,水文,197204,长江,基本站,1404,28.0,-1.714,冻结(黄海),,197201,1,湘江,112.783333,湖南水文,27.616667,2023-04-14T05:12:30.000Z,SBE,涓水,,0,61113100,湘潭市湘潭县射埠镇射埠村,射埠(二),ZQ,1,1
2023-04-15T08:00:00.000Z,187.76,-,6,190,-,,-2.24,NaN,431022,郴州,水文,,珠江,防汛站,140,,,黄海,,202101,3,北江,112.940672,湖南水文,25.402404,2023-04-14T05:10:22.000Z,YZ,宜章水,,1,81002075,郴州市宜章县紫荆街西门桥,宜章,ZZ,1,8
2023-04-15T08:00:00.000Z,94.25,-,6,96.5,101.73,2007-08-21T16:00:00.000Z,-2.25,-7.48,431023,郴州,水文,,长江,基本站,6980,201.0,2.247,冻结(黄海),,194201,1,湘江,113.120528,湖南水文,26.123944,2023-04-14T05:10:54.000Z,YXE,耒水,,1,61108200,郴州市永兴县便江街道滨河路,永兴(二),ZZ,1,1
2023-04-15T08:00:00.000Z,521.74,539,,524,-,,-2.26,NaN,522623,黔东南水文,贵州水文,199901,长江,贵州水文,1280,323.0,,黄海,,199806,1,沅水,108.1256,贵州水文,27.04094,2019-10-29T10:09:58.000Z,SB,舞阳河,0.0,0,61305000,贵州省黔东南施秉县城关镇沙坪村,施秉,ZQ,1,3
2023-04-15T07:00:00.000Z,203.73,41.1,6,206,210.87,2004-07-19T16:00:00.000Z,-2.27,-7.14,431230,怀化,水文,,长江,基本站,3784,156.0,114.603,冻结(黄海),,195309,1,沅水,109.633333,湖南水文,26.316667,2023-04-14T05:12:07.000Z,TD,渠水,,1,61304300,怀化市通道县县溪镇恭城村,通道,ZQ,1,3
2023-04-15T08:00:00.000Z,206.57,-,4,209,-,,-2.43,NaN,430523,邵阳,水文,201310,长江,中小河流,160,6.0,,假定,0.0,201401,3,资水,111.370278,湖南水文,27.114139,2023-04-14T05:10:37.000Z,JGQ,大坝,,,612E1485,邵阳市邵阳县九公桥镇九公桥村,九公桥,ZZ,1,2
2023-04-15T03:00:00.000Z,256.53,-,6,259,261.16,2014-05-25T05:00:00.000Z,-2.47,-4.63,430522,邵阳,水文,201108,长江,中小河流,251,22.0,,85基准,,201201,2,资水,111.612694,湖南水文,27.352528,2023-04-14T05:11:42.000Z,HJQ,西洋江,,,61226460,邵阳市新邵县陈家坊镇黄家桥村,黄家桥,ZZ,1,2
2023-04-15T08:00:00.000Z,264.50,92.2,5,267,271.37,1996-07-16T16:00:00.000Z,-2.50,-6.87,430525,邵阳,水文,195401,长江,基本站,2660,550.0,-2.731,冻结(黄海),,195401,1,资水,110.85,湖南水文,27.033333,2023-04-14T05:12:38.000Z,HQ,资水,,,61200200,邵阳市洞口县黄桥镇正山街,黄桥,ZQ,1,2
2023-04-15T08:00:00.000Z,278.96,-,6,281.5,-,,-2.54,NaN,430525,邵阳,水文,201310,长江,中小河流,840,9.5,,假定,0.0,201401,3,资水,110.664556,湖南水文,26.950667,2023-04-14T05:12:13.000Z,GS,蓼水,,,612E0820,邵阳市洞口县高沙镇木山村,高沙,ZZ,1,2
2023-04-15T08:00:00.000Z,47.95,333.9,,50.5,55.22,2019-07-09T13:30:00.000Z,-2.55,-7.27,430424,衡阳,水文,201001,长江,基本站,10082,16.0,,85基准,,201001,1,湘江,112.933333,湖南水文,27.1,2023-04-14T05:10:57.000Z,HD,洣水,,1,61110850,衡阳市衡东县洣水镇洣江大道450号,衡东,ZQ,1,1
2023-04-15T08:00:00.000Z,300.93,3.2,5,303.5,307.52,2014-07-15T12:00:00.000Z,-2.57,-6.59,433123,湘西,水文,196204,长江,基本站,524,66.0,0.032,假定(85基准),0.0,196201,1,沅水,109.6,湖南水文,27.95,2023-04-14T05:10:37.000Z,FHE,沱江,180.0,0,61311200,湘西州凤凰县沱江镇老营哨街,凤凰(二),ZQ,1,3
2023-04-15T08:00:00.000Z,388.81,5.1,6,391.5,392.66,1991-07-05T16:00:00.000Z,-2.69,-3.85,433130,湘西,水文,197804,长江,基本站,204,17.0,,黄海,0.0,196305,1,沅水,109.616667,湖南水文,29.283333,2023-04-14T05:10:41.000Z,HYX,红岩溪,180.0,1,61313500,湘西州龙山县红岩溪镇红岩溪村,红岩溪,ZQ,1,3
2023-04-15T08:00:00.000Z,245.30,20.1,6,248,248.89,1983-06-21T10:36:00.000Z,-2.70,-3.59,450327,桂林水文,桂林水文中心,196101,长江,,954,,,85基准,,196101,1,湘江,111.135,广西水文,25.474,2020-03-10T08:33:24.000Z,gy,灌江,,,61102700,广西桂林市灌阳县灌阳镇卿家村,灌阳,ZQ,0,1
2023-04-15T08:00:00.000Z,137.41,1.1,6,140.18,143.04,1995-06-29T16:00:00.000Z,-2.77,-5.63,431382,娄底,水文,196201,长江,基本站,152,196.0,-1.683,冻结(85基准),,195901,1,湘江,111.666667,湖南水文,27.683333,2023-04-14T05:12:29.000Z,LYE,涟水,,0,61113300,娄底市涟源市蓝田镇新建街,涟源(二),ZQ,1,1
2023-04-15T08:00:00.000Z,333.18,-,4,336,-,,-2.82,NaN,430525,邵阳,水文,201310,长江,中小河流,280,10.0,,假定,0.0,201401,3,资水,110.453028,湖南水文,27.051611,2023-04-14T05:11:43.000Z,GL,古楼河,,,612E1010,邵阳市洞口县古楼乡古楼村,古楼,ZZ,1,2
2023-04-15T08:00:00.000Z,98.18,-,5,101,105.86,2015-06-17T16:00:00.000Z,-2.82,-7.68,430527,邵阳,水文,201310,长江,基本站,694,39.0,247.033,冻结(黄海),,196301,1,资水,110.5,湖南水文,26.9,2023-04-14T05:12:33.000Z,HYE,蓼水,,,61202600,邵阳市绥宁县红岩镇红岩村,红岩(二),ZQ,1,2
2023-04-15T08:00:00.000Z,1.11,10.8,6,4,9.04,1999-08-12T16:00:00.000Z,-2.89,-7.93,431003,郴州,水文,,长江,基本站,354,26.0,144.887,冻结(黄海),,195901,1,湘江,113.038858,湖南水文,25.803769,2023-04-14T05:12:12.000Z,CZ,郴江,,0,61109600,郴州市苏仙区苏仙岭街道沿江路,郴州,ZQ,1,1
