日期,站名,水位八点,库容八点,水位实时,库容实时,水位控制,库容控制,控制百分比
2023-04-23,皎口坝上,58.60,4467,58.62,4473,68.08,7808,57.3%
2023-04-23,亭下水库,67.51,3948,67.49,3942,82.65,10000,39.4%
2023-04-23,横山水库,87.27,2484,87.20,2472,109.67,7650,32.3%
2023-04-23,四明湖水库,13.41,5026,13.40,5017,16.28,7946,63.1%
2023-04-23,白溪水库,141.38,6640,141.39,6642,170.00,14500,45.8%
2023-04-23,溪下水库,32.69,201,32.72,202,55.00,2074,9.7%
2023-04-23,东钱湖水库,3.09,3357,3.08,3338,3.75,4429,75.4%
2023-04-23,横溪水库,22.73,969,22.69,963,31.42,2516,38.3%
2023-04-23,梅溪水库,37.40,833,37.37,830,46.61,1816,45.7%
2023-04-23,三溪浦水库,28.81,1639,28.80,1637,32.62,2534,64.6%
2023-04-23,十字路水库,19.19,1240,19.19,1240,23.62,1856,66.8%
2023-04-23,新路岙水库,11.00,236,11.03,238,21.46,1077,22.1%
2023-04-23,梁辉水库,34.31,1013,34.27,1008,45.00,2476,40.7%
2023-04-23,陆埠水库,39.60,1040,39.59,1039,46.19,1830,56.8%
2023-04-23,双溪口水库,51.77,1403,51.75,1401,62.50,2525,55.5%
2023-04-23,里杜湖水库,9.32,679,9.32,679,15.71,1703,39.8%
2023-04-23,梅湖水库,12.66,506,12.61,502,20.13,1304,38.5%
2023-04-23,上林湖水库,5.78,552,5.76,549,9.92,1299,42.2%
2023-04-23,郑徐水库,2.88,3342,2.88,3342,4.50,4246,78.7%
2023-04-23,四灶浦水库,4.56,1235,4.61,1256,6.13,1921,65.4%
2023-04-23,西溪水库,127.42,3083,127.44,3086,147.00,7100,43.5%
2023-04-23,黄坛水库,75.54,879,75.37,865,78.80,1150,75.3%
2023-04-23,杨梅岭水库,22.63,589,22.68,595,24.11,833,71.5%
2023-04-23,胡陈港水库,-0.07,4998,-0.07,4998,0.55,5585,89.5%
2023-04-23,车岙港水库,3.50,663,3.50,663,4.52,1020,65.0%
2023-04-23,力洋水库,42.02,883,42.00,881,44.50,1102,80.0%
2023-04-23,仓岙水库,56.57,187,56.57,187,72.83,925,20.2%
2023-04-23,大塘港水库,0.52,2198,0.54,2211,0.85,2420,91.4%
2023-04-23,隔溪张水库,97.05,664,97.07,665,102.93,913,72.8%
2023-04-23,上张水库,27.11,797,27.08,794,35.00,1817,43.7%
2023-04-23,溪口水库,46.94,500,46.95,501,52.55,953,52.6%
2023-04-23,总计（32）,,62105,,62053,,114898,54.0%
2023-04-24,周公宅水库,211.84,5839,211.65,5808,231.13,9570,60.7%
2023-04-24,皎口坝上,58.60,4467,58.66,4486,68.08,7808,57.5%
2023-04-24,亭下水库,67.49,3942,67.46,3933,82.65,10000,39.3%
2023-04-24,横山水库,87.16,2465,87.10,2454,109.67,7650,32.1%
2023-04-24,四明湖水库,13.40,5017,13.39,5007,16.28,7946,63.0%
2023-04-24,白溪水库,141.38,6640,141.38,6640,170.00,14500,45.8%
2023-04-24,溪下水库,32.75,203,32.81,205,55.00,2074,9.9%
2023-04-24,东钱湖水库,3.09,3357,3.09,3357,3.75,4429,75.8%
2023-04-24,横溪水库,22.68,962,22.66,959,31.42,2516,38.1%
2023-04-24,梅溪水库,37.36,830,37.34,828,46.61,1816,45.6%
2023-04-24,三溪浦水库,28.78,1633,28.79,1635,32.62,2534,64.5%
2023-04-24,十字路水库,19.19,1240,19.22,1244,23.62,1856,67.0%
2023-04-24,新路岙水库,11.03,238,11.03,238,21.46,1077,22.1%
2023-04-24,梁辉水库,34.26,1007,34.23,1004,45.00,2476,40.5%
2023-04-24,陆埠水库,39.59,1039,39.60,1040,46.19,1830,56.9%
2023-04-24,双溪口水库,51.72,1398,51.70,1397,62.50,2525,55.3%
2023-04-24,里杜湖水库,9.33,680,9.36,684,15.71,1703,40.2%
2023-04-24,梅湖水库,12.59,500,12.57,498,20.13,1304,38.2%
2023-04-24,上林湖水库,5.77,550,5.77,550,9.92,1299,42.4%
2023-04-24,郑徐水库,2.89,3348,2.88,3342,4.50,4246,78.7%
2023-04-24,四灶浦水库,4.66,1278,4.70,1296,6.13,1921,67.5%
2023-04-24,西溪水库,127.47,3091,127.53,3100,147.00,7100,43.7%
2023-04-24,黄坛水库,75.29,859,75.14,849,78.80,1150,73.8%
2023-04-24,杨梅岭水库,22.72,601,22.77,608,24.11,833,73.0%
2023-04-24,胡陈港水库,-0.07,4998,-0.05,5016,0.55,5585,89.8%
2023-04-24,车岙港水库,3.51,666,3.51,666,4.52,1020,65.3%
2023-04-24,力洋水库,42.00,881,41.98,880,44.50,1102,79.8%
2023-04-24,仓岙水库,56.58,187,56.55,186,72.83,925,20.2%
2023-04-24,大塘港水库,0.55,2218,0.56,2224,0.85,2420,91.9%
2023-04-24,隔溪张水库,97.09,666,97.12,667,102.93,913,73.0%
2023-04-24,上张水库,27.08,794,27.07,793,35.00,1817,43.6%
2023-04-24,溪口水库,46.95,501,46.97,502,52.55,953,52.7%
2023-04-24,总计（32）,,62095,,62096,,114898,54.0%
2023-04-26,周公宅水库,211.68,5813,211.68,5813,231.13,9570,60.7%
2023-04-26,皎口坝上,58.55,4452,58.53,4446,68.08,7808,56.9%
2023-04-26,亭下水库,67.44,3927,67.43,3924,82.65,10000,39.2%
2023-04-26,横山水库,87.01,2439,87.01,2439,109.67,7650,31.9%
2023-04-26,四明湖水库,13.37,4988,13.37,4988,16.28,7946,62.8%
2023-04-26,白溪水库,141.35,6634,141.36,6636,170.00,14500,45.8%
2023-04-26,溪下水库,32.93,208,32.96,209,55.00,2074,10.1%
2023-04-26,东钱湖水库,3.09,3357,3.09,3357,3.75,4429,75.8%
2023-04-26,横溪水库,22.63,955,22.63,955,31.42,2516,38.0%
2023-04-26,梅溪水库,37.33,827,37.32,826,46.61,1816,45.5%
2023-04-26,三溪浦水库,28.79,1635,28.79,1635,32.62,2534,64.5%
2023-04-26,十字路水库,19.27,1250,19.27,1250,23.62,1856,67.4%
2023-04-26,新路岙水库,11.09,241,11.06,239,21.46,1077,22.2%
2023-04-26,梁辉水库,34.20,1001,34.19,999,45.00,2476,40.4%
2023-04-26,陆埠水库,39.66,1046,39.67,1047,46.19,1830,57.2%
2023-04-26,双溪口水库,51.66,1393,51.65,1392,62.50,2525,55.1%
2023-04-26,里杜湖水库,9.43,694,9.43,694,15.71,1703,40.7%
2023-04-26,梅湖水库,12.53,495,12.53,495,20.13,1304,37.9%
2023-04-26,上林湖水库,5.74,546,5.74,546,9.92,1299,42.0%
2023-04-26,郑徐水库,2.88,3342,2.88,3342,4.50,4246,78.7%
2023-04-26,四灶浦水库,4.82,1348,4.82,1348,6.13,1921,70.2%
2023-04-26,西溪水库,127.30,3065,127.27,3061,147.00,7100,43.1%
2023-04-26,黄坛水库,75.48,874,75.53,878,78.80,1150,76.4%
2023-04-26,杨梅岭水库,22.58,582,22.51,572,24.11,833,68.7%
2023-04-26,胡陈港水库,-0.04,5025,-0.04,5025,0.55,5585,90.0%
2023-04-26,车岙港水库,3.51,666,3.51,666,4.52,1020,65.3%
2023-04-26,力洋水库,41.95,878,41.94,877,44.50,1102,79.6%
2023-04-26,仓岙水库,56.52,186,56.50,185,72.83,925,20.0%
2023-04-26,大塘港水库,0.55,2218,0.55,2218,0.85,2420,91.6%
2023-04-26,隔溪张水库,97.18,669,97.03,663,102.93,913,72.7%
2023-04-26,上张水库,27.01,787,27.01,787,35.00,1817,43.3%
2023-04-26,溪口水库,46.99,504,46.99,504,52.55,953,52.9%
2023-04-26,总计（32）,,62045,,62016,,114898,54.0%
