流域,站点编号,行政区,河名,站名,时间,水位(米),流量(米3/秒),警戒水位(米)
长江,60715700,四川省,涪江,南北堰,2023-04-16 14:00:00,285.17,201,288.49
长江,60715955,重庆市,涪江,小河坝(三),2023-04-16 14:00:00,237.37,172,0.0
长江,60716400,四川省,通口河,治城,2023-04-16 14:00:00,713.29,53,720.26
长江,60716800,四川省,凯江,罗江,2023-04-16 14:00:00,494.15,3,497.99
长江,60717050,四川省,凯江,三台,2023-04-16 14:00:00,367.82,3,374.13
长江,60717300,四川省,梓江,梓潼,2023-04-16 14:00:00,466.83,0,470.06
长江,60717500,四川省,梓江,天仙寺（二）,2023-04-16 14:00:00,348.51,0,352.58
长江,60718000,四川省,郪江,胡家坝,2023-04-16 14:00:00,301.96,3,304.06
长江,60718300,重庆市,安居河,泰安,2023-04-16 14:00:00,242.54,3,246.5
长江,60800410,贵州省,乌江,乌江渡(三),2023-04-16 14:00:00,621.08,40,644.4
长江,60801600,贵州省,乌江,思南,2023-04-16 14:00:00,362.423,0,372.0
长江,60802310,贵州省,乌江,沿河,2023-04-16 14:00:00,288.15,0,309.0
长江,60802400,重庆市,乌江,龚滩(二),2023-04-16 14:00:00,289.85,0,0.0
长江,60802700,重庆市,乌江,彭水(四),2023-04-16 14:00:00,213.25,472,225.0
长江,60803000,重庆市,乌江,武隆,2023-04-16 14:00:00,168.9,378,193.0
长江,60804450,贵州省,六冲河,洪家渡（二）,2023-04-16 14:00:00,975.55,24,989.0
长江,60805000,贵州省,织金河,织金,2023-04-16 14:00:00,50.16,0,51.8
长江,60806420,贵州省,型江,平寨,2023-04-16 14:00:00,1264.75,0,1268.0
长江,60809700,贵州省,独木河,下湾,2023-04-16 14:00:00,972.91,6,977.3
长江,60810060,贵州省,余庆河,余庆(三),2023-04-16 14:00:00,562.15,99,564.5
长江,60810400,贵州省,石阡河,石阡(二),2023-04-16 14:00:00,450.9,3,455.0
长江,60810800,贵州省,印江河,印江,2023-04-16 14:00:00,447.79,4,451.0
长江,60810900,贵州省,马蹄河,长丰水库,2023-04-16 14:00:00,405.7,86,409.5
长江,60811600,重庆市,郁江,保家楼,2023-04-16 14:00:00,237.9,43,248.71
长江,60811800,贵州省,芙蓉江,旺草,2023-04-16 14:00:00,670.16,1,674.5
长江,60812000,贵州省,芙蓉江,长坝,2023-04-16 14:00:00,382.35,0,393.5
长江,60812700,重庆市,大溪河,沿塘,2023-04-16 14:00:00,491.01,0,497.0
长江,60903010,湖北省,雾渡河,雾渡河,2023-04-16 14:00:00,404.88,1,410.0
长江,60908000,湖北省,沮漳河,河溶,2023-04-16 14:00:00,39.29,11,48.5
长江,61000500,湖北省,清江,利川（二）,2023-04-16 14:00:00,63.89,2,70.0
长江,61002000,湖北省,清江,恩施,2023-04-16 14:00:00,408.72,14,415.5
长江,61003000,湖北省,清江,渔峡口,2023-04-16 14:00:00,183.54,0,0.0
长江,61004000,湖北省,清江,长阳(二),2023-04-16 14:00:00,79.29,0,0.0
长江,61004750,湖北省,清江,高坝洲,2023-04-16 14:00:00,38.24,8,51.5
长江,61004810,湖北省,清江,高坝洲,2023-04-16 14:00:00,38.12,0,51.0
长江,61006500,湖北省,忠建河,宣恩（二）,2023-04-16 14:00:00,493.51,4,496.0
长江,61010000,湖北省,丹水,高家堰,2023-04-16 14:00:00,12.72,1,17.0
长江,61010500,湖北省,渔洋河,渔洋关,2023-04-16 14:00:00,14.36,1,18.5
长江,61011010,湖北省,渔洋河,聂家河,2023-04-16 14:00:00,80.31,43,84.0
长江,61100700,广西壮族自治区,湘江,全州（二）,2023-04-16 14:00:00,143.83,112,150.5
长江,61101000,湖南省,湘江,祁阳(二),2023-04-16 14:00:00,76.04,477,83.0
长江,61101200,湖南省,湘江,归阳,2023-04-16 14:00:00,40.9,698,45.5
长江,61101400,湖南省,湘江,衡阳,2023-04-16 14:00:00,52.62,764,56.5
长江,61101600,湖南省,湘江,衡山(二),2023-04-16 14:00:00,43.13,1925,49.0
长江,61101900,湖南省,湘江,株洲,2023-04-16 14:00:00,31.663,1946,40.0
长江,61102000,湖南省,湘江,湘潭,2023-04-16 14:00:00,31.27,1989,38.0
长江,61102200,湖南省,湘江,长沙(三),2023-04-16 14:00:00,31.1,0,36.0
长江,61102700,广西壮族自治区,灌江,灌阳,2023-04-16 14:00:00,245.27,16,248.0
长江,61103400,湖南省,消水,道县(二),2023-04-16 14:00:00,165.62,143,170.0
长江,61104100,湖南省,永明河,江永,2023-04-16 14:00:00,42.27,0,0.0
长江,61106100,湖南省,钟水,嘉禾(二),2023-04-16 14:00:00,91.76,19,95.5
长江,61106500,湖南省,新田河,新田,2023-04-16 14:00:00,186.33,12,188.05
长江,61107100,湖南省,蒸水,石门坎,2023-04-16 14:00:00,35.17,17,0.0
长江,61107300,湖南省,蒸水,神山头,2023-04-16 14:00:00,90.89,22,96.0
长江,61108200,湖南省,耒水,永兴(二),2023-04-16 14:00:00,93.97,0,96.5
长江,61108400,湖南省,耒水,耒阳,2023-04-16 14:00:00,73.12,119,77.5
长江,61109600,湖南省,郴水,郴州,2023-04-16 14:00:00,1.03,8,4.0
长江,61110600,湖南省,洣水,龙家山,2023-04-16 14:00:00,91.03,0,95.71
长江,61110900,湖南省,河漠水,炎陵,2023-04-16 14:00:00,86.32,20,0.0
长江,61111300,湖南省,攸水,黄丰桥,2023-04-16 14:00:00,92.9,0,0.0
长江,61111800,湖南省,永乐江,安仁,2023-04-16 14:00:00,87.27,57,89.0
长江,61113100,湖南省,涓水,射埠(二),2023-04-16 14:00:00,44.04,21,46.5
长江,61113500,湖南省,涟水,娄底,2023-04-16 14:00:00,89.5,20,92.96
长江,61113800,湖南省,涟水,湘乡,2023-04-16 14:00:00,41.43,0,47.0
长江,61114000,湖南省,侧水,双峰(二),2023-04-16 14:00:00,72.11,15,76.0
长江,61114400,湖南省,浏渭河,双江口,2023-04-16 14:00:00,20.38,71,26.7
长江,61114700,湖南省,浏渭河,朗梨,2023-04-16 14:00:00,30.69,0,36.0
长江,61116100,湖南省,金井河,螺岭桥,2023-04-16 14:00:00,22.34,0,0.0
长江,61116400,湖南省,沩水,宁乡(三),2023-04-16 14:00:00,36.37,7,42.5
长江,61200200,湖南省,赧水,黄桥,2023-04-16 14:00:00,264.36,49,267.0
长江,61200300,湖南省,赧水,隆回,2023-04-16 08:00:00,245.53,55,250.0
长江,61200500,湖南省,资水,罗家庙,2023-04-16 08:00:00,224.78,140,230.0
长江,61200600,湖南省,资水,邵阳,2023-04-16 14:00:00,209.46,0,214.0
长江,61200800,湖南省,资水,冷水江(二),2023-04-16 14:00:00,166.41,164,173.5
长江,61200900,湖南省,资水,新化,2023-04-16 14:00:00,160.33,0,170.22
长江,61202100,湖南省,资水,桃江(二),2023-04-16 14:00:00,32.15,207,39.2
长江,61202400,湖南省,资水,益阳(二),2023-04-16 14:00:00,28.33,0,36.5
长江,61202700,湖南省,平溪,洞口(二),2023-04-16 14:00:00,313.01,16,316.5
长江,61203400,湖南省,夫夷水,新宁,2023-04-16 14:00:00,290.57,21,294.25
长江,61203750,湖南省,夫夷水,塘渡口,2023-04-16 14:00:00,222.77,46,228.0
长江,61205600,湖南省,洢溪,竹溪坡,2023-04-16 14:00:00,125.22,10,0.0
长江,61205800,湖南省,沂溪,蒙公塘,2023-04-16 14:00:00,66.59,0,0.0
长江,61300200,贵州省,清水江,施洞,2023-04-16 14:00:00,508.68,25,515.0
长江,61300800,湖南省,沅水,黔城,2023-04-16 14:00:00,189.37,0,193.0
长江,61301200,湖南省,沅水,安江,2023-04-16 14:00:00,154.39,595,163.0
长江,61301600,湖南省,沅水,浦市(二),2023-04-16 14:00:00,108.4,451,119.46
长江,61302400,湖南省,沅水,五强溪(二),2023-04-16 14:00:00,50.73,599,0.0
长江,61302800,湖南省,沅水,桃源,2023-04-16 14:00:00,32.73,2524,42.5
长江,61302900,湖南省,沅水,常德(二),2023-04-16 14:00:00,31.04,0,39.0
长江,61303100,贵州省,马尾河,文峰塔,2023-04-16 14:00:00,764.82,217,767.8
长江,61303300,贵州省,马尾河,下司(二),2023-04-16 14:00:00,603.03,908,605.0
长江,61304000,贵州省,六洞河,六洞桥,2023-04-16 14:00:00,525.06,8,527.5
长江,61304300,湖南省,渠水,通道,2023-04-16 14:00:00,203.8,34,206.0
长江,61304500,湖南省,渠水,岩头,2023-04-16 14:00:00,85.5,17,93.3
长江,61305000,贵州省,舞阳河,施秉,2023-04-16 14:00:00,521.74,539,524.0
长江,61305050,贵州省,舞阳河,大菜园二(水位),2023-04-16 14:00:00,456.55,5,460.0
长江,61305900,贵州省,舞阳河,玉屏(崇滩),2023-04-16 14:00:00,327.5,5,336.0
长江,61307600,湖南省,巫水,洪江(二),2023-04-16 14:00:00,171.17,16,174.5
长江,61307700,湖南省,莳竹水,党坪,2023-04-16 14:00:00,97.13,2,101.0
长江,61308500,湖南省,溆水,溆浦(二),2023-04-16 14:00:00,149.54,0,155.0
长江,61310400,湖南省,辰水,陶伊,2023-04-16 14:00:00,130.81,87,136.5
长江,61311000,湖南省,武水,河溪,2023-04-16 14:00:00,147.19,30,156.45
长江,61311200,湖南省,沱江,凤凰(二),2023-04-16 14:00:00,300.94,3,303.5
长江,61311400,湖南省,峒河,吉首,2023-04-16 14:00:00,179.63,9,184.54
长江,61312600,湖南省,酉水,高砌头(二),2023-04-16 14:00:00,107.13,684,115.0
长江,61313100,重庆市,梅江,秀山,2023-04-16 14:00:00,336.31,10,341.47
长江,61313500,湖南省,红岩溪,红岩溪,2023-04-16 14:00:00,388.74,3,391.5
