2011-01-01,河名,站名,水位,流量,含沙量
2011-01-01,黄河                          ,唐乃亥                        ,2670.6,191,-
2011-01-01,黄河                          ,龙羊峡入库,-,132,-
2011-01-01,黄河                          ,龙羊峡蓄水量,2582.56,(184)亿,-
2011-01-01,黄河                          ,龙羊峡出库,-,629,-
2011-01-01,黄河                          ,刘家峡入库,-,589,-
2011-01-01,黄河                          ,刘家峡蓄水量,1727.08,(30.5)亿,-
2011-01-01,黄河                          ,刘家峡出库,-,464,-
2011-01-01,黄河                          ,兰州                          ,1510.98,467,-
2011-01-01,黄河                          ,下河沿                        ,1229.25,543,-
2011-01-01,黄河                          ,石嘴山                        ,1087.23,500,-
2011-01-01,黄河                          ,巴彦高勒                      ,1052.63,560,-
2011-01-01,黄河                          ,三湖河口                      ,1018.68,345,-
2011-01-01,黄河                          ,包头                          ,-,-,-
2011-01-01,黄河                          ,头道拐                        ,987.43,230,-
2011-01-01,黄河                          ,万家寨蓄水量,965.89,(2.05)亿,-
2011-01-01,黄河                          ,万家寨上出库,-,120,-
2011-01-01,黄河                          ,万家寨下                      ,896.05,120,-
2011-01-01,黄河                          ,府谷                          ,807.23,116,-
2011-01-01,黄河                          ,吴堡                          ,635.67,204,-
2011-01-01,黄河                          ,龙门                          ,381.28,191,-
2011-01-01,汾河                          ,河津                          ,-,-,-
2011-01-01,北洛河                        ,状头                          ,361.3,0.766,-
2011-01-01,泾河                          ,张家山                        ,420.28,0.800,-
2011-01-01,渭河                          ,咸阳                          ,380.87,52.5,-
2011-01-01,渭河                          ,华县                          ,334.43,44,-
2011-01-01,黄河                          ,潼关                          ,325.51,267,-
2011-01-01,黄河                          ,史家滩蓄水量,317.4,(3.68)亿,-
2011-01-01,黄河                          ,三门峡                        ,271.19,37.5,*7.25
2011-01-01,黄河                          ,小浪底上蓄水量,250.79,(46.1)亿,-
2011-01-01,黄河                          ,小浪底                        ,134.01,567,*89.3
2011-01-01,伊河                          ,东湾                          ,-,-,-
2011-01-01,伊河                          ,陆浑坝上蓄水量,316.81,(5.61)亿,-
2011-01-01,伊河                          ,陆浑坝上出库,-,-,-
2011-01-01,伊河                          ,龙门镇                        ,147.22,0.337,-
2011-01-01,洛河                          ,卢氏                          ,-,-,-
2011-01-01,洛河                          ,故县水库蓄水量,531.68,(6.11)亿,-
2011-01-01,洛河                          ,故县水库出库,-,-,-
2011-01-01,洛河                          ,长水（二）                    ,377.92,0.530,-
2011-01-01,洛河                          ,白马寺                        ,113.74,34,-
2011-01-01,伊洛河                        ,黑石关                        ,107.85,29.6,-
2011-01-01,丹河                          ,山路坪                        ,-,-,-
2011-01-01,沁河                          ,五龙口                        ,-,-,-
2011-01-01,沁河                          ,武陟                          ,99.59,1.35,-
2011-01-01,黄河                          ,花园口                        ,89.1,502,*73.1
2011-01-01,黄河                          ,夹河滩                        ,72.35,474,*9.65
2011-01-01,黄河                          ,高村                          ,58.37,500,*3.99
2011-01-01,黄河                          ,孙口                          ,43.41,496,*2.75
2011-01-01,大汶河                        ,戴村坝,-,-,-
2011-01-01,东平湖                        ,东平湖老湖蓄水量,42.11,(3.99)亿,-
2011-01-01,大汶河                        ,出湖闸,-,-,-
2011-01-01,黄河                          ,艾山                          ,36.7,336,*3.80
2011-01-01,黄河                          ,泺口                          ,24.76,231,*4.32
