2017-01-01,河名,站名,水位,流量,含沙量
2017-01-01,黄河                          ,唐乃亥                        ,2670.64,193,-
2017-01-01,黄河                          ,龙羊峡入库,-,151,-
2017-01-01,黄河                          ,龙羊峡蓄水量,2577.57,(168)亿,-
2017-01-01,黄河                          ,龙羊峡出库,-,370,-
2017-01-01,黄河                          ,刘家峡入库,-,489,-
2017-01-01,黄河                          ,刘家峡蓄水量,1724.3,(27.3)亿,-
2017-01-01,黄河                          ,刘家峡出库,-,355,-
2017-01-01,黄河                          ,兰州                          ,1510.35,383,-
2017-01-01,黄河                          ,下河沿                        ,1229.02,456,-
2017-01-01,黄河                          ,石嘴山                        ,1085.15,499,-
2017-01-01,黄河                          ,巴彦高勒                      ,1050.64,518,-
2017-01-01,黄河                          ,三湖河口                      ,1017.12,353,-
2017-01-01,黄河                          ,包头                          ,1002.82,353,-
2017-01-01,黄河                          ,头道拐                        ,986.61,345,-
2017-01-01,黄河                          ,万家寨蓄水量,969.61,(1.93)亿,-
2017-01-01,黄河                          ,万家寨上出库,-,9,-
2017-01-01,黄河                          ,万家寨下                      ,897.29,9,-
2017-01-01,黄河                          ,府谷                          ,806.77,347,-
2017-01-01,黄河                          ,吴堡                          ,635.82,395,-
2017-01-01,黄河                          ,龙门                          ,378.68,363,-
2017-01-01,汾河                          ,河津                          ,370.61,14.7,-
2017-01-01,北洛河                        ,状头                          ,361.25,0.343,-
2017-01-01,泾河                          ,张家山                        ,420.26,2.02,-
2017-01-01,渭河                          ,咸阳                          ,380.21,22.9,-
2017-01-01,渭河                          ,华县                          ,333.9,49.6,-
2017-01-01,黄河                          ,潼关                          ,325.79,430,-
2017-01-01,黄河                          ,史家滩蓄水量,317.8,(4.57)亿,-
2017-01-01,黄河                          ,三门峡                        ,273.45,503,-
2017-01-01,黄河                          ,小浪底上蓄水量,257.7,(53.7)亿,-
2017-01-01,黄河                          ,小浪底                        ,133.81,297,*299
2017-01-01,伊河                          ,东湾                          ,-,-,-
2017-01-01,伊河                          ,陆浑坝上蓄水量,312.41,(4.06)亿,-
2017-01-01,伊河                          ,陆浑坝上出库,-,-,-
2017-01-01,伊河                          ,龙门镇                        ,147.51,10,-
2017-01-01,洛河                          ,卢氏                          ,-,-,-
2017-01-01,洛河                          ,故县水库蓄水量,523.14,(4.70)亿,-
2017-01-01,洛河                          ,故县水库出库,-,-,-
2017-01-01,洛河                          ,长水（二）                    ,377.78,0.772,-
2017-01-01,洛河                          ,白马寺                        ,112.81,24,-
2017-01-01,伊洛河                        ,黑石关                        ,105.94,7.80,-
2017-01-01,丹河                          ,山路坪                        ,-,-,-
2017-01-01,沁河                          ,五龙口                        ,-,-,-
2017-01-01,沁河                          ,武陟                          ,98.83,11.8,-
2017-01-01,黄河                          ,花园口                        ,87.18,202,*1.27
2017-01-01,黄河                          ,夹河滩                        ,70.59,246,*2
2017-01-01,黄河                          ,高村                          ,57.1,220,*3.84
2017-01-01,黄河                          ,孙口                          ,42.18,217,*3.70
2017-01-01,大汶河                        ,戴村坝,-,-,-
2017-01-01,东平湖                        ,东平湖老湖蓄水量,41.91,(3.97)亿,-
2017-01-01,大汶河                        ,出湖闸,-,-,-
2017-01-01,黄河                          ,艾山                          ,35.48,180,*3.23
2017-01-01,黄河                          ,泺口                          ,24.18,184,*4.06
2017-01-01,黄河                          ,利津                          ,8.3,164,*4.25
2017-01-02,黄河                          ,唐乃亥                        ,2670.59,175,-
2017-01-02,黄河                          ,龙羊峡入库,-,181,-
2017-01-02,黄河                          ,龙羊峡蓄水量,2577.54,(168)亿,-
2017-01-02,黄河                          ,龙羊峡出库,-,307,-
2017-01-02,黄河                          ,刘家峡入库,-,291,-
2017-01-02,黄河                          ,刘家峡蓄水量,1724.32,(27.4)亿,-
2017-01-02,黄河                          ,刘家峡出库,-,316,-
2017-01-02,黄河                          ,兰州                          ,1510.24,337,-
2017-01-02,黄河                          ,下河沿                        ,1229.07,476,-
2017-01-02,黄河                          ,石嘴山                        ,1085.2,522,-
2017-01-02,黄河                          ,巴彦高勒                      ,1050.67,500,-
2017-01-02,黄河                          ,三湖河口                      ,1017.05,336,-
2017-01-02,黄河                          ,包头                          ,1002.74,312,-
2017-01-02,黄河                          ,头道拐                        ,986.64,350,-
2017-01-02,黄河                          ,万家寨蓄水量,969.16,(1.85)亿,-
2017-01-02,黄河                          ,万家寨上出库,-,100,-
2017-01-02,黄河                          ,万家寨下                      ,897.97,100,-
2017-01-02,黄河                          ,府谷                          ,806.72,342,-
2017-01-02,黄河                          ,吴堡                          ,635.8,385,-
2017-01-02,黄河                          ,龙门                          ,378.96,475,-
2017-01-02,汾河                          ,河津                          ,370.64,15.5,-
2017-01-02,北洛河                        ,状头                          ,361.24,0.276,-
2017-01-02,泾河                          ,张家山                        ,420.26,2.02,-
2017-01-02,渭河                          ,咸阳                          ,380.22,23.7,-
2017-01-02,渭河                          ,华县                          ,333.84,47,-
2017-01-02,黄河                          ,潼关                          ,325.69,385,-
2017-01-02,黄河                          ,史家滩蓄水量,317.58,(4.40)亿,-
2017-01-02,黄河                          ,三门峡                        ,273.08,359,-
2017-01-02,黄河                          ,小浪底上蓄水量,257.87,(54)亿,-
2017-01-02,黄河                          ,小浪底                        ,134.05,487,*299
2017-01-02,伊河                          ,东湾                          ,-,-,-
2017-01-02,伊河                          ,陆浑坝上蓄水量,312.4,(4.05)亿,-
2017-01-02,伊河                          ,陆浑坝上出库,-,-,-
2017-01-02,伊河                          ,龙门镇                        ,147.53,11,-
2017-01-02,洛河                          ,卢氏                          ,-,-,-
2017-01-02,洛河                          ,故县水库蓄水量,523.19,(4.70)亿,-
2017-01-02,洛河                          ,故县水库出库,-,-,-
2017-01-02,洛河                          ,长水（二）                    ,377.78,0.772,-
2017-01-02,洛河                          ,白马寺                        ,112.79,20.5,-
2017-01-02,伊洛河                        ,黑石关                        ,106.04,7.80,-
2017-01-02,丹河                          ,山路坪                        ,-,-,-
2017-01-02,沁河                          ,五龙口                        ,-,-,-
2017-01-02,沁河                          ,武陟                          ,98.83,11.8,-
2017-01-02,黄河                          ,花园口                        ,87.15,193,*1.27
2017-01-02,黄河                          ,夹河滩                        ,70.6,238,*2
2017-01-02,黄河                          ,高村                          ,57.07,212,*3.84
2017-01-02,黄河                          ,孙口                          ,42.15,213,*3.70
2017-01-02,大汶河                        ,戴村坝,-,-,-
2017-01-02,东平湖                        ,东平湖老湖蓄水量,41.9,(3.96)亿,-
2017-01-02,大汶河                        ,出湖闸,-,-,-
2017-01-02,黄河                          ,艾山                          ,35.45,172,*3.23
2017-01-02,黄河                          ,泺口                          ,24.16,180,*4.06
2017-01-02,黄河                          ,利津                          ,8.3,164,*4.25
2017-01-03,黄河                          ,唐乃亥                        ,2670.66,199,-
2017-01-03,黄河                          ,龙羊峡入库,-,207,-
2017-01-03,黄河                          ,龙羊峡蓄水量,2577.5,(168)亿,-
2017-01-03,黄河                          ,龙羊峡出库,-,297,-
2017-01-03,黄河                          ,刘家峡入库,-,375,-
2017-01-03,黄河                          ,刘家峡蓄水量,1724.33,(27.4)亿,-
2017-01-03,黄河                          ,刘家峡出库,-,310,-
2017-01-03,黄河                          ,兰州                          ,1510.4,406,-
2017-01-03,黄河                          ,下河沿                        ,1229.06,472,-
2017-01-03,黄河                          ,石嘴山                        ,1085.15,499,-
2017-01-03,黄河                          ,巴彦高勒                      ,1050.73,509,-
2017-01-03,黄河                          ,三湖河口                      ,1017.05,336,-
2017-01-03,黄河                          ,包头                          ,1002.74,312,-
2017-01-03,黄河                          ,头道拐                        ,986.63,347,-
2017-01-03,黄河                          ,万家寨蓄水量,969.48,(1.90)亿,-
2017-01-03,黄河                          ,万家寨上出库,-,96,-
2017-01-03,黄河                          ,万家寨下                      ,897.95,96,-
2017-01-03,黄河                          ,府谷                          ,806.59,309,-
2017-01-03,黄河                          ,吴堡                          ,635.76,393,-
2017-01-03,黄河                          ,龙门                          ,378.9,422,-
2017-01-03,汾河                          ,河津                          ,370.67,16.2,-
2017-01-03,北洛河                        ,状头                          ,361.24,0.276,-
2017-01-03,泾河                          ,张家山                        ,420.26,2.02,-
2017-01-03,渭河                          ,咸阳                          ,380.22,23.7,-
