2005-01-01,河名,站名,水位,流量,含沙量
2005-01-01,黄河                          ,唐乃亥                        ,170.58,150,-
2005-01-01,黄河                          ,龙羊峡入库,-,-,-
2005-01-01,黄河                          ,龙羊峡蓄水量,-,-,-
2005-01-01,黄河                          ,龙羊峡出库,-,-,-
2005-01-01,黄河                          ,刘家峡入库,-,-,-
2005-01-01,黄河                          ,刘家峡蓄水量,-,-,-
2005-01-01,黄河                          ,刘家峡出库,-,-,-
2005-01-01,黄河                          ,兰州                          ,10.64,408,-
2005-01-01,黄河                          ,下河沿                        ,29.4,609,-
2005-01-01,黄河                          ,石嘴山                        ,85.48,626,-
2005-01-01,黄河                          ,巴彦高勒                      ,53.07,322,-
2005-01-01,黄河                          ,三湖河口                      ,18.66,300,-
2005-01-01,黄河                          ,包头                          ,-,-,-
2005-01-01,黄河                          ,头道拐                        ,86.87,140,-
2005-01-01,黄河                          ,万家寨蓄水量,-,-,-
2005-01-01,黄河                          ,万家寨上出库,-,13.9,-
2005-01-01,黄河                          ,万家寨下                      ,94.46,13.9,-
2005-01-01,黄河                          ,府谷                          ,8.89,180,-
2005-01-01,黄河                          ,吴堡                          ,36.23,235,-
2005-01-01,黄河                          ,龙门                          ,82.24,262,-
2005-01-01,汾河                          ,河津                          ,71.06,18,-
2005-01-01,北洛河                        ,状头                          ,61.58,10.9,-
2005-01-01,泾河                          ,张家山                        ,420.34,1.82,-
2005-01-01,渭河                          ,咸阳                          ,81.93,27.2,-
2005-01-01,渭河                          ,华县                          ,34.67,78,-
2005-01-01,黄河                          ,潼关                          ,26.06,420,-
2005-01-01,黄河                          ,史家滩蓄水量,-,-,-
2005-01-01,黄河                          ,三门峡                        ,72.63,215,*7.25
2005-01-01,黄河                          ,小浪底上蓄水量,-,-,-
2005-01-01,黄河                          ,小浪底                        ,32.46,219,*89.3
2005-01-01,伊河                          ,东湾                          ,-,-,-
2005-01-01,伊河                          ,陆浑坝上蓄水量,-,-,-
2005-01-01,伊河                          ,陆浑坝上出库,-,-,-
2005-01-01,伊河                          ,龙门镇                        ,47.56,31,-
2005-01-01,洛河                          ,卢氏                          ,-,-,-
2005-01-01,洛河                          ,故县水库蓄水量,-,-,-
2005-01-01,洛河                          ,故县水库出库,-,-,-
2005-01-01,洛河                          ,长水（二）                    ,378.24,2.33,-
2005-01-01,洛河                          ,白马寺                        ,114.81,28.6,-
2005-01-01,伊洛河                        ,黑石关                        ,6.05,66.5,-
2005-01-01,丹河                          ,山路坪                        ,-,-,-
2005-01-01,沁河                          ,五龙口                        ,-,-,-
2005-01-01,沁河                          ,武陟                          ,1.72,11.4,-
2005-01-01,黄河                          ,花园口                        ,89.89,445,*73.1
2005-01-01,黄河                          ,夹河滩                        ,73.59,445,*9.65
2005-01-01,黄河                          ,高村                          ,59.48,440,-
2005-01-01,黄河                          ,孙口                          ,44.84,440,-
