2015-01-01,河名,站名,水位,流量,含沙量
2015-01-01,黄河                          ,唐乃亥                        ,2670.61,250,-
2015-01-01,黄河                          ,龙羊峡入库,-,226,-
2015-01-01,黄河                          ,龙羊峡蓄水量,2586.94,(199)亿,-
2015-01-01,黄河                          ,龙羊峡出库,-,487,-
2015-01-01,黄河                          ,刘家峡入库,-,539,-
2015-01-01,黄河                          ,刘家峡蓄水量,1726.52,(29.9)亿,-
2015-01-01,黄河                          ,刘家峡出库,-,525,-
2015-01-01,黄河                          ,兰州                          ,1510.71,519,-
2015-01-01,黄河                          ,下河沿                        ,1229.39,625,-
2015-01-01,黄河                          ,石嘴山                        ,1085.73,732,-
2015-01-01,黄河                          ,巴彦高勒                      ,1052.63,560,-
2015-01-01,黄河                          ,三湖河口                      ,1018.61,570,-
2015-01-01,黄河                          ,包头                          ,1003.42,485,-
2015-01-01,黄河                          ,头道拐                        ,987.73,379,-
2015-01-01,黄河                          ,万家寨蓄水量,975.74,(3.39)亿,-
2015-01-01,黄河                          ,万家寨上出库,-,111,-
2015-01-01,黄河                          ,万家寨下                      ,898.02,111,-
2015-01-01,黄河                          ,府谷                          ,805.48,125,-
2015-01-01,黄河                          ,吴堡                          ,635.2,170,-
2015-01-01,黄河                          ,龙门                          ,379.48,279,-
2015-01-01,汾河                          ,河津                          ,371.21,27.6,-
2015-01-01,北洛河                        ,状头                          ,361.24,0.276,-
2015-01-01,泾河                          ,张家山                        ,420.3,1.73,-
2015-01-01,渭河                          ,咸阳                          ,380.32,26,-
2015-01-01,渭河                          ,华县                          ,333.84,72.5,-
2015-01-01,黄河                          ,潼关                          ,325.32,525,-
2015-01-01,黄河                          ,史家滩蓄水量,317.98,(4.53)亿,-
2015-01-01,黄河                          ,三门峡                        ,273.79,665,-
2015-01-01,黄河                          ,小浪底上蓄水量,267.8,(78.3)亿,-
2015-01-01,黄河                          ,小浪底                        ,134,551,*299
2015-01-01,伊河                          ,东湾                          ,-,-,-
2015-01-01,伊河                          ,陆浑坝上蓄水量,313.59,(4.46)亿,-
2015-01-01,伊河                          ,陆浑坝上出库,-,-,-
2015-01-01,伊河                          ,龙门镇                        ,146.97,1.83,-
2015-01-01,洛河                          ,卢氏                          ,-,-,-
2015-01-01,洛河                          ,故县水库蓄水量,528.78,(5.58)亿,-
2015-01-01,洛河                          ,故县水库出库,-,-,-
2015-01-01,洛河                          ,长水（二）                    ,377.81,0.828,-
2015-01-01,洛河                          ,白马寺                        ,113.2,20.4,-
2015-01-01,伊洛河                        ,黑石关                        ,107.68,12.4,-
2015-01-01,丹河                          ,山路坪                        ,-,-,-
2015-01-01,沁河                          ,五龙口                        ,-,-,-
