2009-01-01,河名,站名,水位,流量,含沙量
2009-01-01,黄河                          ,唐乃亥                        ,2670.63,225,-
2009-01-01,黄河                          ,龙羊峡入库,-,208,-
2009-01-01,黄河                          ,龙羊峡蓄水量,2580.05,(176)亿,-
2009-01-01,黄河                          ,龙羊峡出库,-,399,-
2009-01-01,黄河                          ,刘家峡入库,-,881,-
2009-01-01,黄河                          ,刘家峡蓄水量,1726.81,(30.2)亿,-
2009-01-01,黄河                          ,刘家峡出库,-,448,-
2009-01-01,黄河                          ,兰州                          ,1510.53,360,-
2009-01-01,黄河                          ,下河沿                        ,1229.18,503,-
2009-01-01,黄河                          ,石嘴山                        ,1085.58,570,-
2009-01-01,黄河                          ,巴彦高勒                      ,1052.77,410,-
2009-01-01,黄河                          ,三湖河口                      ,1018.41,410,-
2009-01-01,黄河                          ,包头                          ,-,-,-
2009-01-01,黄河                          ,头道拐                        ,987.72,253,-
2009-01-01,黄河                          ,万家寨蓄水量,970.12,(3.11)亿,-
2009-01-01,黄河                          ,万家寨上出库,-,360,-
2009-01-01,黄河                          ,万家寨下                      ,896.14,360,-
2009-01-01,黄河                          ,府谷                          ,808.22,215,-
2009-01-01,黄河                          ,吴堡                          ,636.51,285,-
2009-01-01,黄河                          ,龙门                          ,382.04,182,-
2009-01-01,汾河                          ,河津                          ,370.38,5.90,-
2009-01-01,北洛河                        ,状头                          ,361.35,1.42,-
2009-01-01,泾河                          ,张家山                        ,420.3,1.24,-
2009-01-01,渭河                          ,咸阳                          ,381,11.1,-
2009-01-01,渭河                          ,华县                          ,334.85,49.6,-
2009-01-01,黄河                          ,潼关                          ,325.26,158,-
2009-01-01,黄河                          ,史家滩蓄水量,316.9,(3.61)亿,-
2009-01-01,黄河                          ,三门峡                        ,273.64,589,*7.25
2009-01-01,黄河                          ,小浪底上蓄水量,243.23,(36.9)亿,-
2009-01-01,黄河                          ,小浪底                        ,133.02,457,*89.3
2009-01-01,伊河                          ,东湾                          ,-,-,-
2009-01-01,伊河                          ,陆浑坝上蓄水量,306.98,(2.70)亿,-
2009-01-01,伊河                          ,陆浑坝上出库,-,-,-
2009-01-01,伊河                          ,龙门镇                        ,147.22,0.303,-
2009-01-01,洛河                          ,卢氏                          ,-,-,-
2009-01-01,洛河                          ,故县水库蓄水量,524.35,(4.87)亿,-
2009-01-01,洛河                          ,故县水库出库,-,-,-
