2004-01-01,河名,站名,水位,流量,含沙量
2004-01-01,黄河                          ,唐乃亥                        ,170.58,160,-
2004-01-01,黄河                          ,龙羊峡入库,-,-,-
2004-01-01,黄河                          ,龙羊峡蓄水量,-,-,-
2004-01-01,黄河                          ,龙羊峡出库,-,-,-
2004-01-01,黄河                          ,刘家峡入库,-,-,-
2004-01-01,黄河                          ,刘家峡蓄水量,-,-,-
2004-01-01,黄河                          ,刘家峡出库,-,-,-
2004-01-01,黄河                          ,兰州                          ,10.81,486,-
2004-01-01,黄河                          ,下河沿                        ,29.19,506,-
2004-01-01,黄河                          ,石嘴山                        ,85.34,488,-
2004-01-01,黄河                          ,巴彦高勒                      ,53.27,340,-
2004-01-01,黄河                          ,三湖河口                      ,18.58,390,-
2004-01-01,黄河                          ,包头                          ,-,-,-
2004-01-01,黄河                          ,头道拐                        ,87.2,240,-
2004-01-01,黄河                          ,万家寨蓄水量,-,-,-
2004-01-01,黄河                          ,万家寨上出库,-,225,-
2004-01-01,黄河                          ,万家寨下                      ,95.57,225,-
2004-01-01,黄河                          ,府谷                          ,8.67,158,-
2004-01-01,黄河                          ,吴堡                          ,36.22,94,-
2004-01-01,黄河                          ,龙门                          ,82.14,160,-
2004-01-01,汾河                          ,河津                          ,71.21,23.3,-
2004-01-01,北洛河                        ,状头                          ,61.61,9.91,-
2004-01-01,泾河                          ,张家山                        ,420.32,6.83,-
2004-01-01,渭河                          ,咸阳                          ,81.85,35,-
2004-01-01,渭河                          ,华县                          ,34.99,100,-
2004-01-01,黄河                          ,潼关                          ,25.76,440,-
2004-01-01,黄河                          ,史家滩蓄水量,-,-,-
2004-01-01,黄河                          ,三门峡                        ,72.23,141,*7.25
2004-01-01,黄河                          ,小浪底上蓄水量,-,-,-
2004-01-01,黄河                          ,小浪底                        ,33,463,*89.3
2004-01-01,伊河                          ,东湾                          ,-,-,-
2004-01-01,伊河                          ,陆浑坝上蓄水量,-,-,-
2004-01-01,伊河                          ,陆浑坝上出库,-,-,-
2004-01-01,伊河                          ,龙门镇                        ,47.6,32.4,-
2004-01-01,洛河                          ,卢氏                          ,-,-,-
2004-01-01,洛河                          ,故县水库蓄水量,-,-,-
2004-01-01,洛河                          ,故县水库出库,-,-,-
2004-01-01,洛河                          ,长水（二）                    ,378.38,6.50,-
2004-01-01,洛河                          ,白马寺                        ,115.49,48.5,-
2004-01-01,伊洛河                        ,黑石关                        ,6.43,87.3,-
2004-01-01,丹河                          ,山路坪                        ,-,-,-
2004-01-01,沁河                          ,五龙口                        ,-,-,-
2004-01-01,沁河                          ,武陟                          ,2.07,24,-
2004-01-01,黄河                          ,花园口                        ,90.12,722,*73.1
2004-01-01,黄河                          ,夹河滩                        ,73.89,820,*9.65
2004-01-01,黄河                          ,高村                          ,60.03,680,*3.99
2004-01-01,黄河                          ,孙口                          ,45.19,840,*2.75
2004-01-01,大汶河                        ,戴村坝,-,-,-
2004-01-01,东平湖                        ,东平湖老湖蓄水量,-,-,-
2004-01-01,大汶河                        ,出湖闸,-,-,-
2004-01-01,黄河                          ,艾山                          ,38.32,660,*3.80
2004-01-01,黄河                          ,泺口                          ,27.28,860,*4.32
2004-01-01,黄河                          ,利津                          ,10.33,618,*4.06
2004-01-02,黄河                          ,唐乃亥                        ,170.58,160,-
2004-01-02,黄河                          ,龙羊峡入库,-,-,-
2004-01-02,黄河                          ,龙羊峡蓄水量,-,-,-
2004-01-02,黄河                          ,龙羊峡出库,-,-,-
2004-01-02,黄河                          ,刘家峡入库,-,-,-
2004-01-02,黄河                          ,刘家峡蓄水量,-,-,-
2004-01-02,黄河                          ,刘家峡出库,-,-,-
2004-01-02,黄河                          ,兰州                          ,10.69,430,-
2004-01-02,黄河                          ,下河沿                        ,29.17,498,-
2004-01-02,黄河                          ,石嘴山                        ,85.32,475,-
2004-01-02,黄河                          ,巴彦高勒                      ,53.31,410,-
2004-01-02,黄河                          ,三湖河口                      ,18.52,370,-
2004-01-02,黄河                          ,包头                          ,-,-,-
2004-01-02,黄河                          ,头道拐                        ,87.27,265,-
2004-01-02,黄河                          ,万家寨蓄水量,-,-,-
2004-01-02,黄河                          ,万家寨上出库,-,23.2,-
2004-01-02,黄河                          ,万家寨下                      ,94.57,23.2,-
2004-01-02,黄河                          ,府谷                          ,9.5,368,-
2004-01-02,黄河                          ,吴堡                          ,36.41,171,-
2004-01-02,黄河                          ,龙门                          ,82,164,-
2004-01-02,汾河                          ,河津                          ,71.21,23.3,-
2004-01-02,北洛河                        ,状头                          ,61.59,9.14,-
2004-01-02,泾河                          ,张家山                        ,420.32,6.83,-
2004-01-02,渭河                          ,咸阳                          ,81.84,34,-
2004-01-02,渭河                          ,华县                          ,34.98,100,-
2004-01-02,黄河                          ,潼关                          ,25.72,375,-
2004-01-02,黄河                          ,史家滩蓄水量,-,-,-
2004-01-02,黄河                          ,三门峡                        ,71.92,95.8,*7.25
2004-01-02,黄河                          ,小浪底上蓄水量,-,-,-
2004-01-02,黄河                          ,小浪底                        ,33.02,474,*89.3
2004-01-02,伊河                          ,东湾                          ,-,-,-
2004-01-02,伊河                          ,陆浑坝上蓄水量,-,-,-
2004-01-02,伊河                          ,陆浑坝上出库,-,-,-
2004-01-02,伊河                          ,龙门镇                        ,47.6,32.4,-
2004-01-02,洛河                          ,卢氏                          ,-,-,-
2004-01-02,洛河                          ,故县水库蓄水量,-,-,-
2004-01-02,洛河                          ,故县水库出库,-,-,-
2004-01-02,洛河                          ,长水（二）                    ,378.35,5.62,-
2004-01-02,洛河                          ,白马寺                        ,115.49,48.5,-
2004-01-02,伊洛河                        ,黑石关                        ,6.41,85.8,-
2004-01-02,丹河                          ,山路坪                        ,-,-,-
2004-01-02,沁河                          ,五龙口                        ,-,-,-
2004-01-02,沁河                          ,武陟                          ,2.07,24,-
2004-01-02,黄河                          ,花园口                        ,90.21,805,*73.1
2004-01-02,黄河                          ,夹河滩                        ,73.83,770,*9.65
