2002-01-01,河名,站名,水位,流量,含沙量
2002-01-01,黄河                          ,唐乃亥                        ,170.08,116,-
2002-01-01,黄河                          ,龙羊峡入库,-,-,-
2002-01-01,黄河                          ,龙羊峡蓄水量,-,-,-
2002-01-01,黄河                          ,龙羊峡出库,-,-,-
2002-01-01,黄河                          ,刘家峡入库,-,-,-
2002-01-01,黄河                          ,刘家峡蓄水量,-,-,-
2002-01-01,黄河                          ,刘家峡出库,-,-,-
2002-01-01,黄河                          ,兰州                          ,10.45,333,-
2002-01-01,黄河                          ,下河沿                        ,29.23,526,-
2002-01-01,黄河                          ,石嘴山                        ,86,410,-
2002-01-01,黄河                          ,巴彦高勒                      ,52.54,310,-
2002-01-01,黄河                          ,三湖河口                      ,17.97,260,-
2002-01-01,黄河                          ,包头                          ,-,-,-
2002-01-01,黄河                          ,头道拐                        ,86.58,185,-
2002-01-01,黄河                          ,万家寨蓄水量,-,-,-
2002-01-01,黄河                          ,万家寨上出库,-,18,-
2002-01-01,黄河                          ,万家寨下                      ,94.47,18,-
2002-01-01,黄河                          ,府谷                          ,8.54,98,-
2002-01-01,黄河                          ,吴堡                          ,36.18,130,-
2002-01-01,黄河                          ,龙门                          ,82.09,210,-
2002-01-01,汾河                          ,河津                          ,70.63,5.45,-
2002-01-01,北洛河                        ,状头                          ,61.35,2.10,-
2002-01-01,泾河                          ,张家山                        ,420.1,1.64,-
2002-01-01,渭河                          ,咸阳                          ,81.69,9.70,-
2002-01-01,渭河                          ,华县                          ,35.08,22,-
2002-01-01,黄河                          ,潼关                          ,25.78,134,-
2002-01-01,黄河                          ,史家滩蓄水量,-,-,-
2002-01-01,黄河                          ,三门峡                        ,70.9,18.6,*7.25
2002-01-01,黄河                          ,小浪底上蓄水量,-,-,-
2002-01-01,黄河                          ,小浪底                        ,31.87,60,*89.3
2002-01-01,伊河                          ,东湾                          ,-,-,-
2002-01-01,伊河                          ,陆浑坝上蓄水量,-,-,-
2002-01-01,伊河                          ,陆浑坝上出库,-,-,-
2002-01-01,伊河                          ,龙门镇                        ,48.18,7.50,-
2002-01-01,洛河                          ,卢氏                          ,-,-,-
2002-01-01,洛河                          ,故县水库蓄水量,-,-,-
2002-01-01,洛河                          ,故县水库出库,-,-,-
2002-01-01,洛河                          ,长水（二）                    ,378.07,1.83,-
2002-01-01,洛河                          ,白马寺                        ,115.47,12.4,-
2002-01-01,伊洛河                        ,黑石关                        ,5.9,28.5,-
2002-01-01,丹河                          ,山路坪                        ,-,-,-
2002-01-01,沁河                          ,五龙口                        ,-,-,-
2002-01-01,沁河                          ,武陟                          ,1.58,4.78,-
2002-01-01,黄河                          ,花园口                        ,90.47,282,*73.1
2002-01-01,黄河                          ,夹河滩                        ,74.25,194,*9.65
2002-01-01,黄河                          ,高村                          ,60.69,228,*3.99
2002-01-01,黄河                          ,孙口                          ,45.22,285,*2.75
2002-01-01,大汶河                        ,戴村坝,-,-,-
2002-01-01,东平湖                        ,东平湖老湖蓄水量,-,-,-
2002-01-01,大汶河                        ,出湖闸,-,-,-
2002-01-01,黄河                          ,艾山                          ,37.91,260,*3.80
2002-01-01,黄河                          ,泺口                          ,26.71,200,*4.32
2002-01-01,黄河                          ,利津                          ,10.86,188,*4.06
2002-01-02,黄河                          ,唐乃亥                        ,170.1,119,-
2002-01-02,黄河                          ,龙羊峡入库,-,-,-
2002-01-02,黄河                          ,龙羊峡蓄水量,-,-,-
2002-01-02,黄河                          ,龙羊峡出库,-,-,-
2002-01-02,黄河                          ,刘家峡入库,-,-,-
2002-01-02,黄河                          ,刘家峡蓄水量,-,-,-
2002-01-02,黄河                          ,刘家峡出库,-,-,-
2002-01-02,黄河                          ,兰州                          ,10.48,345,-
2002-01-02,黄河                          ,下河沿                        ,29.15,488,-
2002-01-02,黄河                          ,石嘴山                        ,86.01,490,-
2002-01-02,黄河                          ,巴彦高勒                      ,52.47,352,-
2002-01-02,黄河                          ,三湖河口                      ,18.03,265,-
2002-01-02,黄河                          ,包头                          ,-,-,-
2002-01-02,黄河                          ,头道拐                        ,86.63,189,-
2002-01-02,黄河                          ,万家寨蓄水量,-,-,-
2002-01-02,黄河                          ,万家寨上出库,-,17,-
2002-01-02,黄河                          ,万家寨下                      ,94.46,17,-
2002-01-02,黄河                          ,府谷                          ,8.33,64,-
