时间,水位,流量,WPTN,警戒水位,OBHTZ,OBHTZTM,比警戒,HIS,ADDVCD,市,ATCUNIT,BGFRYM,主流,基本站,DRNA,DSTRVM,DTMEL,基准面,DTPR,ESSTYM,FRGRD,支流,LGTD,LOCALITY,LTTD,MODITIME,PHCD,河名,STAZT,STBK,站点编号,站点位置,站名,站点类型,USFL,HN_NUM
2023-04-26T08:00:00.000Z,94.10,-,5,96.5,101.73,2007-08-21T16:00:00.000Z,-2.40,-7.63,431023,郴州,水文,,长江,基本站,6980,201.0,2.247,冻结(黄海),,194201,1,湘江,113.120528,湖南水文,26.123944,2023-04-14T05:10:54.000Z,YXE,耒水,,1,61108200,郴州市永兴县便江街道滨河路,永兴(二),ZZ,1,1
2023-04-26T08:00:00.000Z,301.08,8.1,6,303.5,307.52,2014-07-15T12:00:00.000Z,-2.42,-6.44,433123,湘西,水文,196204,长江,基本站,524,66.0,0.032,假定(85基准),0.0,196201,1,沅水,109.6,湖南水文,27.95,2023-04-14T05:10:37.000Z,FHE,沱江,180.0,0,61311200,湘西州凤凰县沱江镇老营哨街,凤凰(二),ZQ,1,3
2023-04-26T08:00:00.000Z,256.54,-,4,259,261.16,2014-05-25T05:00:00.000Z,-2.46,-4.62,430522,邵阳,水文,201108,长江,中小河流,251,22.0,,85基准,,201201,2,资水,111.612694,湖南水文,27.352528,2023-04-14T05:11:42.000Z,HJQ,西洋江,,,61226460,邵阳市新邵县陈家坊镇黄家桥村,黄家桥,ZZ,1,2
2023-04-26T08:00:00.000Z,126.03,332.9,,128.5,131.08,2008-06-13T16:00:00.000Z,-2.47,-5.05,431123,永州,水文,196004,长江,基本站,10599,68.0,-1.749,冻结(黄海),,196001,1,湘江,111.683333,湖南水文,25.966667,2023-04-14T05:11:42.000Z,SP,潇水,,0,61103500,永州市双牌县泷泊镇双电东路101号,双牌,ZQ,1,1
2023-04-26T08:00:00.000Z,245.38,31.1,4,248,248.89,1983-06-21T10:36:00.000Z,-2.62,-3.51,450327,桂林水文,桂林水文中心,196101,长江,,954,,,85基准,,196101,1,湘江,111.135,广西水文,25.474,2020-03-10T08:33:24.000Z,gy,灌江,,,61102700,广西桂林市灌阳县灌阳镇卿家村,灌阳,ZQ,0,1
2023-04-26T08:00:00.000Z,333.35,-,6,336,-,,-2.65,NaN,430525,邵阳,水文,201310,长江,中小河流,280,10.0,,假定,0.0,201401,3,资水,110.453028,湖南水文,27.051611,2023-04-14T05:11:43.000Z,GL,古楼河,,,612E1010,邵阳市洞口县古楼乡古楼村,古楼,ZZ,1,2
2023-04-26T06:00:00.000Z,206.32,-,5,209,-,,-2.68,NaN,430523,邵阳,水文,201310,长江,中小河流,160,6.0,,假定,0.0,201401,3,资水,111.370278,湖南水文,27.114139,2023-04-14T05:10:37.000Z,JGQ,大坝,,,612E1485,邵阳市邵阳县九公桥镇九公桥村,九公桥,ZZ,1,2
2023-04-26T08:00:00.000Z,137.47,2.4,6,140.18,143.04,1995-06-29T16:00:00.000Z,-2.71,-5.57,431382,娄底,水文,196201,长江,基本站,152,196.0,-1.683,冻结(85基准),,195901,1,湘江,111.666667,湖南水文,27.683333,2023-04-14T05:12:29.000Z,LYE,涟水,,0,61113300,娄底市涟源市蓝田镇新建街,涟源(二),ZQ,1,1
2023-04-26T08:00:00.000Z,456.78,15.5,,459.5,463.41,1996-07-01T16:00:00.000Z,-2.72,-6.63,522625,黔东南水文,贵州水文,197201,长江,贵州水文,2200,290.0,,黄海,,197101,1,沅水,108.4005,贵州水文,27.04325,2019-10-29T10:10:00.000Z,DCYE,舞阳河,180.0,0,61305050,贵州省黔东南镇远县舞阳镇大菜园,大菜园(二),ZQ,1,3
2023-04-26T06:00:00.000Z,278.78,-,6,281.5,-,,-2.72,NaN,430525,邵阳,水文,201310,长江,中小河流,840,9.5,,假定,0.0,201401,3,资水,110.664556,湖南水文,26.950667,2023-04-14T05:12:13.000Z,GS,蓼水,,,612E0820,邵阳市洞口县高沙镇木山村,高沙,ZZ,1,2
2023-04-26T08:00:00.000Z,388.72,2.9,6,391.5,392.66,1991-07-05T16:00:00.000Z,-2.78,-3.94,433130,湘西,水文,197804,长江,基本站,204,17.0,,黄海,0.0,196305,1,沅水,109.616667,湖南水文,29.283333,2023-04-14T05:10:41.000Z,HYX,红岩溪,180.0,1,61313500,湘西州龙山县红岩溪镇红岩溪村,红岩溪,ZQ,1,3
2023-04-26T08:00:00.000Z,264.19,19.4,4,267,271.37,1996-07-16T16:00:00.000Z,-2.81,-7.18,430525,邵阳,水文,195401,长江,基本站,2660,550.0,-2.731,冻结(黄海),,195401,1,资水,110.85,湖南水文,27.033333,2023-04-14T05:12:38.000Z,HQ,资水,,,61200200,邵阳市洞口县黄桥镇正山街,黄桥,ZQ,1,2
2023-04-26T08:00:00.000Z,1.17,14.2,6,4,9.04,1999-08-12T16:00:00.000Z,-2.83,-7.87,431003,郴州,水文,,长江,基本站,354,26.0,144.887,冻结(黄海),,195901,1,湘江,113.038858,湖南水文,25.803769,2023-04-14T05:12:12.000Z,CZ,郴江,,0,61109600,郴州市苏仙区苏仙岭街道沿江路,郴州,ZQ,1,1
2023-04-26T08:00:00.000Z,47.61,70.6,,50.5,55.22,2019-07-09T13:30:00.000Z,-2.89,-7.61,430424,衡阳,水文,201001,长江,基本站,10082,16.0,,85基准,,201001,1,湘江,112.933333,湖南水文,27.1,2023-04-14T05:10:57.000Z,HD,洣水,,1,61110850,衡阳市衡东县洣水镇洣江大道450号,衡东,ZQ,1,1
2023-04-26T08:00:00.000Z,261.03,6.1,6,264,-,,-2.97,NaN,431025,郴州,水文,,珠江,中小河流,208,190.0,,85基准,,201606,3,北江,112.580611,湖南水文,25.281111,2023-04-14T05:11:24.000Z,LW,武水,,,810E0020,郴州市临武县武水镇黄莲村,临武,ZQ,1,8
2023-04-26T08:00:00.000Z,306.77,-,6,309.75,309.6,2016-07-18T05:00:00.000Z,-2.98,-2.83,430811,张家界,水文,201310,长江,基本站,152,38.0,-0.034,假定(85基准),0.0,201406,1,澧水,110.55,湖南水文,29.35,2023-04-14T05:11:30.000Z,WLY,溹水,0.0,1,61402050,张家界市武陵源区军地坪街道办事处朝阳路3号,武陵源,ZQ,1,4
2023-04-26T08:00:00.000Z,97.93,-,4,101,105.86,2015-06-17T16:00:00.000Z,-3.07,-7.93,430527,邵阳,水文,201310,长江,基本站,694,39.0,247.033,冻结(黄海),,196301,1,资水,110.5,湖南水文,26.9,2023-04-14T05:12:33.000Z,HYE,蓼水,,,61202600,邵阳市绥宁县红岩镇红岩村,红岩(二),ZQ,1,2
2023-04-26T08:00:00.000Z,41.81,-,4,45,-,,-3.19,NaN,430725,常德,水文,,长江,洪水易发,-,,2.0,冻结(黄海),,201001,2,沅水,111.417694,湖南水文,28.787389,2023-04-14T05:11:15.000Z,THY,沅水,,,61339880,常德市桃花源旅游管理区桃花源镇桃花居委会,桃花源,ZZ,1,3
2023-04-26T08:00:00.000Z,394.81,-,6,398,-,,-3.19,NaN,430529,邵阳,水文,201310,长江,中小河流,210,22.5,,假定,0.0,201401,3,沅水,110.348444,湖南水文,26.478611,2023-04-14T05:11:55.000Z,SXJ,岩背水,,,613E0980,邵阳市城步县茅坪镇蒋坊村,宋溪江,ZZ,1,3
2023-04-26T08:00:00.000Z,99.78,368,4,103,107.32,2017-07-02T12:00:00.000Z,-3.22,-7.54,431102,永州,水文,201310,长江,基本站,21341,602.0,-3.001,冻结(黄海),,194005,1,湘江,111.6,湖南水文,26.266667,2023-04-14T05:10:58.000Z,LBT,湘江,,1,61100900,永州市零陵区七里店办事处老埠头村,老埠头,ZQ,1,1
2023-04-26T04:35:00.000Z,193.17,36.6,6,196.43,201.49,1993-07-22T16:00:00.000Z,-3.26,-8.32,433127,湘西,水文,195704,长江,基本站,1035,28.0,52.573,冻结(黄海),,195701,1,沅水,109.833333,湖南水文,29.016667,2023-04-14T05:11:47.000Z,YS,猛洞河,135.0,1,61314400,湘西州永顺县灵溪镇鹭鸶村,永顺,ZQ,1,3
2023-04-26T08:00:00.000Z,83.18,9.4,,86.5,85.69,2020-06-04T16:00:00.000Z,-3.32,-2.51,360322,宜春水文局,,201311,长江,江西水文,207,,,黄海,,201311,2,湘江,113.806,江西水文,27.8775,2019-10-29T10:09:05.000Z,SLSWZ,栗河,,1,61136100,江西省萍乡市上栗县上栗镇,上栗水文站,zq,1,1
2023-04-26T08:00:00.000Z,93.66,31.1,4,97,99.84,2014-05-24T16:00:00.000Z,-3.34,-6.18,430281,株洲,水文,,长江,基本站,1162,29.0,-25.855,冻结(黄海),,195701,1,湘江,113.705494,湖南水文,27.853628,2023-04-14T05:10:40.000Z,ZT,南川水,,1,61112700,株洲市醴陵市李畋镇潼塘村,潼塘,ZQ,1,1
2023-04-26T08:00:00.000Z,104.08,48.7,6,107.5,112.42,2006-07-15T16:00:00.000Z,-3.42,-8.34,431023,郴州,水文,,长江,基本站,1473,19.0,,黄海,0.0,200401,1,湘江,113.023356,湖南水文,26.055955,2023-04-14T05:10:29.000Z,XYD,西河,,0,61109850,郴州市永兴县湘阴渡街道堡口村,湘阴渡,ZQ,1,1
2023-04-26T08:00:00.000Z,89.52,23.6,4,92.96,97.33,2017-07-01T09:35:00.000Z,-3.44,-7.81,431302,娄底,水文,195801,长江,基本站,1458,151.0,7.541,冻结(85基准),,195801,1,湘江,111.966667,湖南水文,27.75,2023-04-14T05:12:17.000Z,LD,涟水,,0,61113500,娄底市娄星区黄泥塘办事处索桥居委会,娄底,ZQ,1,1
2023-04-26T08:00:00.000Z,313.05,17.3,4,316.5,319.66,2001-06-09T16:00:00.000Z,-3.45,-6.61,430525,邵阳,水文,197201,长江,基本站,904,43.0,,黄海,0.0,197301,1,资水,110.533333,湖南水文,27.083333,2023-04-14T05:11:58.000Z,DKE,平溪,,,61202700,邵阳市洞口县文昌街道平清村,洞口(二),ZQ,1,2
2023-04-26T08:00:00.000Z,290.79,40.1,5,294.25,298.11,2017-07-01T15:50:00.000Z,-3.46,-7.32,430528,邵阳,水文,195102,长江,基本站,2456,125.0,-1.745,冻结(黄海),,195101,1,资水,110.866667,湖南水文,26.45,2023-04-14T05:11:55.000Z,XN,夫夷水,,,61203400,邵阳市新宁县金石镇观瀑村,新宁,ZQ,1,2
2023-04-26T08:00:00.000Z,171.01,-,6,174.5,183.31,1996-07-16T16:00:00.000Z,-3.49,-12.30,431271,怀化,水文,,长江,基本站,4180,4.5,,黄海,,199707,1,沅水,110.0,湖南水文,27.083333,2023-04-14T05:11:43.000Z,HJE,巫水,,0,61307600,怀化市洪江区带子街,洪江(二),ZQ,1,3
2023-04-26T08:00:00.000Z,195.48,14.2,6,199,-,,-3.52,NaN,431022,郴州,水文,,珠江,防汛站,1253,,,黄海,,202101,3,北江,112.80536,湖南水文,25.336151,2023-04-14T05:12:26.000Z,HS,武水,,0,81001770,郴州市宜章县梅田镇黄石村,黄石,ZZ,1,8
2023-04-26T07:30:00.000Z,43.78,-,4,47.3,47.87,2012-07-17T16:00:00.000Z,-3.52,-4.09,430724,常德,水文,200401,长江,基本站,749,35.0,,黄海,,200401,1,澧水,111.65,湖南水文,29.433333,2023-04-14T05:12:20.000Z,LZ,道水,,0,61402900,常德市临澧县安福镇滨河路,临澧,ZQ,1,4
2023-04-26T08:00:00.000Z,91.96,42.1,6,95.5,97.18,2006-07-15T16:00:00.000Z,-3.54,-5.22,431024,郴州,水文,,长江,基本站,1473,222.0,91.715,冻结(黄海),,194401,1,湘江,112.370486,湖南水文,25.556423,2023-04-14T05:12:10.000Z,JHE,钟水,,1,61106100,郴州市嘉禾县珠泉镇车头社区,嘉禾(二),ZQ,1,1
2023-04-26T08:00:00.000Z,52.86,1560,,56.5,60.59,1994-06-17T16:00:00.000Z,-3.64,-7.73,430407,衡阳,水文,194601,长江,基本站,52150,321.0,-2.432,冻结(黄海),,194006,1,湘江,112.65,湖南水文,26.95,2023-04-14T05:11:42.000Z,HY,湘江,,0,61101400,衡阳市石鼓区合江街道江霞村,衡阳,ZQ,1,1
2023-04-26T08:00:00.000Z,72.26,21.3,4,76,78.63,1982-06-16T16:00:00.000Z,-3.74,-6.37,431321,娄底,水文,195901,长江,基本站,1462,17.0,66.874,冻结(黄海),,195601,1,湘江,112.2,湖南水文,27.483333,2023-04-14T05:11:48.000Z,SFE,侧水,,1,61114000,娄底市双峰县永丰街道联阳村,双峰(二),ZQ,1,1
2023-04-26T08:00:00.000Z,319.72,51.9,6,323.5,-,,-3.78,NaN,431129,永州,水文,201310,长江,基本站,917,296.0,,黄海,,201501,1,湘江,112.016667,湖南水文,24.916667,2023-04-14T05:10:11.000Z,MS,冯河,,,61122300,永州市江华县码市镇,码市,ZQ,1,1
2023-04-26T08:00:00.000Z,94.71,11,4,98.5,101.33,1998-05-21T16:00:00.000Z,-3.79,-6.62,431302,娄底,水文,200604,长江,中小河流,802,3.0,,假定,,201508,2,湘江,111.990972,湖南水文,27.697139,2023-04-14T05:12:09.000Z,SAE,孙水,,0,61113900,娄底市娄星区大科街道办事处小科居委会,石安(二),ZQ,1,1
2023-04-26T08:00:00.000Z,97.15,2.9,4,101,104.39,2017-07-01T07:10:00.000Z,-3.85,-7.24,430527,邵阳,水文,195901,长江,基本站,482,6.1,183.277,冻结(黄海),,195901,1,沅水,110.083333,湖南水文,26.6,2023-04-14T05:12:28.000Z,DP,莳竹水,,,61307700,邵阳市绥宁县长铺镇杨庄村,党坪,ZQ,1,3
2023-04-26T08:00:00.000Z,65.63,-,4,69.5,-,,-3.87,NaN,430482,衡阳,水文,,长江,中小河流,910,18.0,,85基准,0.0,201001,2,湘江,112.390583,湖南水文,26.439417,2023-04-14T05:10:53.000Z,CN,宜水,,,61105370,衡阳市常宁市宜阳街道万寿村,常宁,ZQ,1,1
2023-04-26T08:00:00.000Z,51.11,73.9,6,55,58.51,2019-07-08T16:00:00.000Z,-3.89,-7.40,430281,株洲,水文,,长江,基本站,1497,25.0,,85基准,,195105,1,湘江,113.492972,湖南水文,27.536056,2023-04-14T05:10:02.000Z,ZF,铁水,,1,61137500,株洲市醴陵市泗汾镇泗汾村,泗汾,ZQ,1,1
2023-04-26T08:00:00.000Z,45.54,29.2,6,49.5,52.98,1994-06-15T16:00:00.000Z,-3.96,-7.44,431025,郴州-韶关,水文,,珠江,基本站,880,166.0,174.099,冻结(黄海),,195901,1,北江,112.704461,广东水文,25.335903,2023-04-14T05:10:40.000Z,FS,武江,,0,81001750,郴州市临武县汾市镇桐尾村,汾市,ZQ,1,8
2023-04-26T08:00:00.000Z,82.52,229,6,86.5,90.36,2006-07-15T16:00:00.000Z,-3.98,-7.84,431021,衡阳-郴州,水文,,长江,基本站,5409,75.0,,黄海,,197701,1,湘江,112.683333,湖南水文,26.116667,2023-04-14T05:12:01.000Z,OYH,舂陵水,,0,61105600,郴州市桂阳县桥市乡野鹿村,欧阳海,ZQ,1,1
2023-04-26T08:00:00.000Z,188.94,-,5,193,197.49,1970-07-12T16:00:00.000Z,-4.06,-8.55,431281,怀化,水文,,长江,基本站,34940,499.0,-2.091,冻结(黄海),,193904,1,沅水,109.816667,湖南水文,27.183333,2023-04-14T05:11:21.000Z,QC,沅水,,0,61300800,怀化市洪江市黔城镇玉皇阁社区,黔城,ZZ,1,3
2023-04-26T08:00:00.000Z,372.05,19.8,6,376.2,379,2019-06-06T19:55:00.000Z,-4.15,-6.95,450329,桂林水文,桂林水文中心,195910,长江,,469,180.0,,85基准,,195910,2,资水,110.65437,广西水文,26.042257,2020-03-10T08:33:24.000Z,zy,夫夷水,,,61203200,广西桂林市资源县资源镇城北开发区滨江路,资源,ZQ,0,2
2023-04-26T08:00:00.000Z,82.80,18.5,,87,88.35,2019-07-08T16:00:00.000Z,-4.20,-5.55,360302,宜春水文局,市水文,,长江,江西水文,-,,,,,,1,湘江,113.837583,江西水文,27.596222,2020-05-22T02:22:55.000Z,PXSWZ,萍水,,,61112705,江西省萍乡市安源区效区管委会井冲村,萍乡水文站,ZQ,1,1
2023-04-26T08:00:00.000Z,165.80,181.8,,170,174.58,2008-06-13T16:00:00.000Z,-4.20,-8.78,431124,永州,水文,195104,长江,基本站,5634,141.0,,黄海,,195101,1,湘江,111.583333,湖南水文,25.516667,2023-04-14T05:12:38.000Z,DXE,潇水,,0,61103400,永州市道县道江镇滨河路村,道县(二),ZQ,1,1
2023-04-26T08:00:00.000Z,47.26,110.2,,51.5,54.93,2019-07-08T16:00:00.000Z,-4.24,-7.67,430281,株洲,水文,195901,长江,基本站,3132,53.0,-1.789,冻结(黄海),,195901,1,湘江,113.47325,湖南水文,27.663361,2023-04-14T05:11:21.000Z,DXTE,渌水,,1,61112300,株洲市醴陵市中和街85号,大西滩(二),ZQ,1,1
2023-04-26T07:55:00.000Z,73.24,168.1,4,77.5,83.38,2006-07-15T16:00:00.000Z,-4.26,-10.14,430481,衡阳,水文,195101,长江,基本站,9902,132.0,,黄海,,195101,1,湘江,112.866667,湖南水文,26.416667,2023-04-14T05:11:30.000Z,ZY,耒水,,0,61108400,衡阳市耒阳市蔡子池街道金南居委会,耒阳,ZQ,1,1
2023-04-26T08:00:00.000Z,67.71,69.6,,72,74.17,2019-07-08T16:00:00.000Z,-4.29,-6.46,360313,宜春水文局,,201111,长江,江西水文,1108,,,,,201111,5,湘江,113.7415,江西水文,27.6368,2020-05-22T02:22:55.000Z,XD,萍水,,,61136605,江西省萍乡市湘东区湘东镇河洲村,湘东,ZZ,1,1
2023-04-26T08:00:00.000Z,29.20,-,6,33.5,37.09,1996-07-20T16:00:00.000Z,-4.30,-7.89,430981,洞庭湖分中心,,195107,长江,长江委水文,-,,-1.957,85基准,,192410,1,洞庭湖,112.373611,长江委水文,28.858056,2020-03-16T02:58:11.000Z,ZJE,万子湖,,,61508400,益阳市沅江市琼湖街道义和社区,沅江(二),ZZ,1,5
2023-04-26T08:00:00.000Z,41.19,921,,45.5,50.23,2017-07-03T05:30:00.000Z,-4.31,-9.04,430426,衡阳,水文,196101,长江,基本站,27983,460.0,25.697,冻结(黄海),,196101,1,湘江,112.183333,湖南水文,26.55,2023-04-14T05:10:21.000Z,GY,湘江,,0,61101200,衡阳市祁东县归阳镇前进街,归阳,ZQ,1,1
2023-04-26T08:00:00.000Z,180.11,37.3,6,184.54,188.38,1999-07-07T16:00:00.000Z,-4.43,-8.27,433101,湘西,水文,195308,长江,基本站,769,15.0,-2.044,冻结(黄海),,195308,1,沅水,109.733333,湖南水文,28.316667,2023-04-14T05:12:00.000Z,JS,峒河,180.0,0,61311400,湘西州吉首市新桥路,吉首,ZQ,1,3
2023-04-26T08:00:00.000Z,245.58,43.8,5,250.1,251.82,1995-07-01T16:00:00.000Z,-4.52,-6.24,431228,怀化,水文,,长江,基本站,8215,110.0,-2.112,冻结(黄海),,193507,1,沅水,109.666667,湖南水文,27.466667,2023-04-14T05:11:49.000Z,ZJ,舞水,,0,61305600,怀化市芷江县芷江镇柳树坪村,芷江,ZQ,1,3
2023-04-26T08:00:00.000Z,209.46,-,5,214,222.21,1996-07-18T16:00:00.000Z,-4.54,-12.75,430503,邵阳,水文,194209,长江,基本站,12238,411.0,-2.194,冻结(黄海),,194209,1,资水,111.45,湖南水文,27.25,2023-04-14T05:12:08.000Z,SY,资水,,,61200600,邵阳市大祥区狮子街,邵阳,ZQ,1,2
2023-04-26T06:55:00.000Z,245.44,123,5,250,256.19,1996-07-17T16:00:00.000Z,-4.56,-10.75,430524,邵阳,水文,198901,长江,基本站,5871,521.0,,黄海,,198901,1,资水,110.983333,湖南水文,27.133333,2023-04-14T05:12:30.000Z,LH,资水,,,61200300,邵阳市隆回县桃洪镇澄水村,隆回,ZQ,1,2
2023-04-26T08:00:00.000Z,378.94,4.23,,383.5,387.9,1995-06-24T16:00:00.000Z,-4.56,-8.96,522626,黔东南水文,贵州水文,198901,长江,贵州水文,1373,13.0,,黄海,,198801,1,沅水,108.7474,贵州水文,27.21606,2019-10-29T10:10:01.000Z,ZG,龙江河,180.0,1,61305910,贵州省黔东南岑巩县思阳镇解放路46号,岑巩,ZQ,1,3
2023-04-26T08:00:00.000Z,91.09,-,6,95.71,98.85,1982-06-16T16:00:00.000Z,-4.62,-7.76,430224,株洲,水文,195605,长江,基本站,4515,122.0,-6.11,冻结(黄海),,195601,1,湘江,113.432609,湖南水文,26.864163,2023-04-14T05:12:40.000Z,LJS,洣水,,1,61110600,株洲市茶陵县虎踞镇河东村,龙家山,ZQ,1,1
2023-04-26T08:00:00.000Z,31.31,-,,36,39.51,2017-07-02T16:00:00.000Z,-4.69,-8.20,430103,长沙,水文,,长江,基本站,83020,60.0,-2.244,冻结(85基准),,191001,1,湘江,112.966667,湖南水文,28.183333,2023-04-14T05:11:13.000Z,CSS,湘江,,1,61102200,长沙市天心区湘江大道朱张渡下游80米,长沙(三),ZQ,1,1
2023-04-26T08:00:00.000Z,29.23,2240,6,34,37.57,1996-07-20T16:00:00.000Z,-4.77,-8.34,430981,洞庭湖分中心,,195210,长江,长江委水文,-,,-1.85,85基准,,195107,1,洞庭湖,112.316667,长江委水文,28.85,2020-03-16T02:58:11.000Z,XHJ,西洞庭湖湖口(南端),,,61507800,益阳市沅江市琼湖街道小河咀村,小河咀,ZQ,1,5
2023-04-26T08:00:00.000Z,209.21,-,5,214,222.02,1996-07-18T16:00:00.000Z,-4.79,-12.81,430503,邵阳,水文,195104,长江,基本站,2060,2.7,-1.949,冻结(黄海),,195201,1,资水,111.466667,湖南水文,27.233333,2023-04-14T05:12:25.000Z,MP,邵水,,,61204200,邵阳市大祥区邵水西路,茅坪,ZQ,1,2
