日期,站名,时间,水位,流量
2023-03-12,迁江,03-12 08:00,61.70,1130
2023-03-12,梧州（四）,03-12 08:00,1.77,1260
2023-03-12,高要,03-12 08:00,0.16,314
2023-03-12,柳州,03-12 08:00,77.34,122
2023-03-12,金鸡（二）,03-12 08:00,27.69,41
2023-03-12,南宁（三）,03-12 08:00,66.95,428
2023-03-12,贵港,03-12 08:00,31.32,244
2023-03-12,石角,03-12 08:00,0.40,395
2023-03-13,迁江,03-13 08:00,59.19,460
2023-03-13,梧州（四）,03-13 08:00,1.42,958
2023-03-13,高要,03-13 08:00,-0.04,-374
2023-03-13,柳州,03-13 08:00,77.25,17
2023-03-13,金鸡（二）,03-13 08:00,27.71,43
2023-03-13,南宁（三）,03-13 08:00,66.99,529
2023-03-13,贵港,03-13 08:00,31.25,280
2023-03-13,石角,03-13 08:00,0.10,232
2023-03-15,迁江,03-15 08:00,61.90,1190
2023-03-15,梧州（四）,03-15 08:00,1.82,1580
2023-03-15,高要,03-15 08:00,-0.10,2620
2023-03-15,柳州,03-15 08:00,77.12,178
2023-03-15,金鸡（二）,03-15 08:00,27.45,30
2023-03-15,南宁（三）,03-15 08:00,66.89,345
2023-03-15,贵港,03-15 08:00,31.36,285
2023-03-15,石角,03-15 08:00,-0.19,320
2023-03-16,迁江,03-16 08:00,62.37,1340
2023-03-16,梧州（四）,03-16 08:00,1.77,1540
2023-03-16,高要,03-16 08:00,-0.41,3500
2023-03-16,柳州,03-16 08:00,77.05,193
2023-03-16,金鸡（二）,03-16 08:00,27.25,26
2023-03-16,南宁（三）,03-16 08:00,66.90,360
2023-03-16,贵港,03-16 08:00,31.49,618
2023-03-16,石角,03-16 08:00,-0.64,204
2023-03-17,迁江,03-17 08:00,59.96,616
2023-03-17,梧州（四）,03-17 08:00,2.46,2120
2023-03-17,高要,03-17 08:00,-0.20,4420
2023-03-17,柳州,03-17 08:00,77.09,148
2023-03-17,金鸡（二）,03-17 08:00,27.81,52
2023-03-17,南宁（三）,03-17 08:00,67.01,404
2023-03-17,贵港,03-17 08:00,31.50,563
2023-03-17,石角,03-17 08:00,-0.38,255
2023-03-18,迁江,02-04 08:00,59.670,503.000
2023-03-18,武宣,02-04 08:00,51.770,1520.000
2023-03-18,大湟江口(二),02-04 08:00,20.570,1920.000
2023-03-18,梧州（四）,02-04 08:00,2.100,1820.000
2023-03-18,高要,02-04 08:00,0.570,-433.000
2023-03-18,柳州,02-04 08:00,77.000,143.000
2023-03-18,对亭,02-04 08:00,71.570,20.500
2023-03-18,太平,02-04 08:00,33.970,72.900
2023-03-18,金鸡（二）,02-04 08:00,27.350,28.000
2023-03-18,南宁（三）,02-04 08:00,67.050,383.000
2023-03-18,贵港,02-04 08:00,31.240,282.000
2023-03-18,石角,02-04 08:00,0.620,320.000
2023-03-18,天河(二),02-04 08:00,0.860,2360.000
2023-03-18,冯马庙(二),02-04 08:00,0.440,-
2023-03-18,大虎,02-04 08:00,0.300,-
2023-03-19,迁江,02-04 08:00,59.670,503.000
2023-03-19,武宣,02-04 08:00,51.770,1520.000
2023-03-19,大湟江口(二),02-04 08:00,20.570,1920.000
2023-03-19,梧州（四）,02-04 08:00,2.100,1820.000
2023-03-19,高要,02-04 08:00,0.570,-433.000
2023-03-19,柳州,02-04 08:00,77.000,143.000
2023-03-19,对亭,02-04 08:00,71.570,20.500
2023-03-19,太平,02-04 08:00,33.970,72.900
2023-03-19,金鸡（二）,02-04 08:00,27.350,28.000
2023-03-19,南宁（三）,02-04 08:00,67.050,383.000
2023-03-19,贵港,02-04 08:00,31.240,282.000
2023-03-19,石角,02-04 08:00,0.620,320.000
2023-03-19,天河(二),02-04 08:00,0.860,2360.000
2023-03-19,冯马庙(二),02-04 08:00,0.440,-
2023-03-19,大虎,02-04 08:00,0.300,-
2023-03-22,迁江,02-04 08:00,59.670,503.000
2023-03-22,武宣,02-04 08:00,51.770,1520.000
2023-03-22,大湟江口(二),02-04 08:00,20.570,1920.000
2023-03-22,梧州（四）,02-04 08:00,2.100,1820.000
2023-03-22,高要,02-04 08:00,0.570,-433.000
2023-03-22,柳州,02-04 08:00,77.000,143.000
2023-03-22,对亭,02-04 08:00,71.570,20.500
2023-03-22,太平,02-04 08:00,33.970,72.900
2023-03-22,金鸡（二）,02-04 08:00,27.350,28.000
2023-03-22,南宁（三）,02-04 08:00,67.050,383.000
2023-03-22,贵港,02-04 08:00,31.240,282.000
2023-03-22,石角,02-04 08:00,0.620,320.000
2023-03-22,天河(二),02-04 08:00,0.860,2360.000
2023-03-22,冯马庙(二),02-04 08:00,0.440,-
2023-03-22,大虎,02-04 08:00,0.300,-
2023-03-23,迁江,02-04 08:00,59.670,503.000
2023-03-23,武宣,02-04 08:00,51.770,1520.000
2023-03-23,大湟江口(二),02-04 08:00,20.570,1920.000
2023-03-23,梧州（四）,02-04 08:00,2.100,1820.000
2023-03-23,高要,02-04 08:00,0.570,-433.000
2023-03-23,柳州,02-04 08:00,77.000,143.000
2023-03-23,对亭,02-04 08:00,71.570,20.500
2023-03-23,太平,02-04 08:00,33.970,72.900
2023-03-23,金鸡（二）,02-04 08:00,27.350,28.000
2023-03-23,南宁（三）,02-04 08:00,67.050,383.000
2023-03-23,贵港,02-04 08:00,31.240,282.000
2023-03-23,石角,02-04 08:00,0.620,320.000
2023-03-23,天河(二),02-04 08:00,0.860,2360.000
2023-03-23,冯马庙(二),02-04 08:00,0.440,-
2023-03-23,大虎,02-04 08:00,0.300,-
2023-03-24,迁江,02-04 08:00,59.670,503.000
2023-03-24,武宣,02-04 08:00,51.770,1520.000
2023-03-24,大湟江口(二),02-04 08:00,20.570,1920.000
2023-03-24,梧州（四）,02-04 08:00,2.100,1820.000
2023-03-24,高要,02-04 08:00,0.570,-433.000
2023-03-24,柳州,02-04 08:00,77.000,143.000
2023-03-24,对亭,02-04 08:00,71.570,20.500
2023-03-24,太平,02-04 08:00,33.970,72.900
2023-03-24,金鸡（二）,02-04 08:00,27.350,28.000
2023-03-24,南宁（三）,02-04 08:00,67.050,383.000
2023-03-24,贵港,02-04 08:00,31.240,282.000
2023-03-24,石角,02-04 08:00,0.620,320.000
2023-03-24,天河(二),02-04 08:00,0.860,2360.000
2023-03-24,冯马庙(二),02-04 08:00,0.440,-
2023-03-24,大虎,02-04 08:00,0.300,-
2023-03-25,迁江,02-04 08:00,59.670,503.000
2023-03-25,武宣,02-04 08:00,51.770,1520.000
2023-03-25,大湟江口(二),02-04 08:00,20.570,1920.000
2023-03-25,梧州（四）,02-04 08:00,2.100,1820.000
2023-03-25,高要,02-04 08:00,0.570,-433.000
2023-03-25,柳州,02-04 08:00,77.000,143.000
2023-03-25,对亭,02-04 08:00,71.570,20.500
2023-03-25,太平,02-04 08:00,33.970,72.900
2023-03-25,金鸡（二）,02-04 08:00,27.350,28.000
2023-03-25,南宁（三）,02-04 08:00,67.050,383.000
2023-03-25,贵港,02-04 08:00,31.240,282.000
2023-03-25,石角,02-04 08:00,0.620,320.000
2023-03-25,天河(二),02-04 08:00,0.860,2360.000
2023-03-25,冯马庙(二),02-04 08:00,0.440,-
2023-03-25,大虎,02-04 08:00,0.300,-
2023-03-26,迁江,03-26 08:00,59.51,525
2023-03-26,梧州（四）,03-26 08:00,2.26,1930
2023-03-26,高要,03-26 08:00,0.60,1310
2023-03-26,柳州,03-26 08:00,77.57,282
2023-03-26,金鸡（二）,03-26 08:00,28.05,83
2023-03-26,南宁（三）,03-26 08:00,66.93,667
2023-03-26,贵港,03-26 08:00,31.43,422
2023-03-26,石角,03-26 08:00,3.16,4050
2023-03-27,迁江,03-27 08:00,59.46,515
2023-03-27,梧州（四）,03-27 08:00,2.57,2230
2023-03-27,高要,03-27 08:00,0.52,2350
2023-03-27,柳州,03-27 08:00,77.46,255
2023-03-27,金鸡（二）,03-27 08:00,28.88,390
2023-03-27,南宁（三）,03-27 08:00,66.91,666
2023-03-27,贵港,03-27 08:00,31.37,NaN
2023-03-27,石角,03-27 08:00,1.07,4070
2023-03-28,迁江,03-28 08:00,61.08,948
2023-03-28,梧州（四）,03-28 08:00,2.78,2440
2023-03-28,高要,03-28 08:00,0.41,3390
2023-03-28,柳州,03-28 08:00,77.44,184
2023-03-28,金鸡（二）,03-28 08:00,28.87,385
2023-03-28,南宁（三）,03-28 08:00,66.93,685
2023-03-28,贵港,03-28 08:00,31.49,NaN
2023-03-28,石角,03-28 08:00,1.04,5150
2023-03-29,迁江,02-04 08:00,59.670,503.000
2023-03-29,武宣,02-04 08:00,51.770,1520.000
2023-03-29,大湟江口(二),02-04 08:00,20.570,1920.000
2023-03-29,梧州（四）,02-04 08:00,2.100,1820.000
2023-03-29,高要,02-04 08:00,0.570,-433.000
2023-03-29,柳州,02-04 08:00,77.000,143.000
2023-03-29,对亭,02-04 08:00,71.570,20.500
2023-03-29,太平,02-04 08:00,33.970,72.900
2023-03-29,金鸡（二）,02-04 08:00,27.350,28.000
2023-03-29,南宁（三）,02-04 08:00,67.050,383.000
2023-03-29,贵港,02-04 08:00,31.240,282.000
2023-03-29,石角,02-04 08:00,0.620,320.000
2023-03-29,天河(二),02-04 08:00,0.860,2360.000
2023-03-29,冯马庙(二),02-04 08:00,0.440,-
2023-03-29,大虎,02-04 08:00,0.300,-
2023-03-30,迁江,02-04 08:00,59.670,503.000
2023-03-30,武宣,02-04 08:00,51.770,1520.000
2023-03-30,大湟江口(二),02-04 08:00,20.570,1920.000
2023-03-30,梧州（四）,02-04 08:00,2.100,1820.000
2023-03-30,高要,02-04 08:00,0.570,-433.000
2023-03-30,柳州,02-04 08:00,77.000,143.000
2023-03-30,对亭,02-04 08:00,71.570,20.500
2023-03-30,太平,02-04 08:00,33.970,72.900
2023-03-30,金鸡（二）,02-04 08:00,27.350,28.000
2023-03-30,南宁（三）,02-04 08:00,67.050,383.000
2023-03-30,贵港,02-04 08:00,31.240,282.000
2023-03-30,石角,02-04 08:00,0.620,320.000
2023-03-30,天河(二),02-04 08:00,0.860,2360.000
2023-03-30,冯马庙(二),02-04 08:00,0.440,-
2023-03-30,大虎,02-04 08:00,0.300,-
2023-03-31,迁江,02-04 08:00,59.670,503.000
2023-03-31,武宣,02-04 08:00,51.770,1520.000
2023-03-31,大湟江口(二),02-04 08:00,20.570,1920.000
2023-03-31,梧州（四）,02-04 08:00,2.100,1820.000
2023-03-31,高要,02-04 08:00,0.570,-433.000
2023-03-31,柳州,02-04 08:00,77.000,143.000
2023-03-31,对亭,02-04 08:00,71.570,20.500
2023-03-31,太平,02-04 08:00,33.970,72.900
2023-03-31,金鸡（二）,02-04 08:00,27.350,28.000
2023-03-31,南宁（三）,02-04 08:00,67.050,383.000
2023-03-31,贵港,02-04 08:00,31.240,282.000
2023-03-31,石角,02-04 08:00,0.620,320.000
2023-03-31,天河(二),02-04 08:00,0.860,2360.000
2023-03-31,冯马庙(二),02-04 08:00,0.440,-
2023-03-31,大虎,02-04 08:00,0.300,-
2023-04-01,迁江,04-01 08:00,61.36,1030
2023-04-01,梧州（四）,04-01 08:00,3.95,3610
2023-04-01,高要,04-01 08:00,0.37,5510
2023-04-01,柳州,04-01 08:00,77.54,249
2023-04-01,金鸡（二）,04-01 08:00,27.54,33
2023-04-01,南宁（三）,04-01 08:00,67.01,558
2023-04-01,贵港,04-01 08:00,31.26,395
2023-04-01,石角,04-01 08:00,2.02,3440
2023-04-02,迁江,04-02 08:00,60.27,708
2023-04-02,梧州（四）,04-02 08:00,3.57,3230
2023-04-02,高要,04-02 08:00,0.35,5270
2023-04-02,柳州,04-02 08:00,77.69,298
2023-04-02,金鸡（二）,04-02 08:00,27.86,58
2023-04-02,南宁（三）,04-02 08:00,66.95,504
2023-04-02,贵港,04-02 08:00,31.38,NaN
2023-04-02,石角,04-02 08:00,1.31,1950
2023-04-03,迁江,02-04 08:00,59.670,503.000
2023-04-03,武宣,02-04 08:00,51.770,1520.000
2023-04-03,大湟江口(二),02-04 08:00,20.570,1920.000
2023-04-03,梧州（四）,02-04 08:00,2.100,1820.000
2023-04-03,高要,02-04 08:00,0.570,-433.000
2023-04-03,柳州,02-04 08:00,77.000,143.000
2023-04-03,对亭,02-04 08:00,71.570,20.500
2023-04-03,太平,02-04 08:00,33.970,72.900
2023-04-03,金鸡（二）,02-04 08:00,27.350,28.000
2023-04-03,南宁（三）,02-04 08:00,67.050,383.000
2023-04-03,贵港,02-04 08:00,31.240,282.000
2023-04-03,石角,02-04 08:00,0.620,320.000
2023-04-03,天河(二),02-04 08:00,0.860,2360.000
2023-04-03,冯马庙(二),02-04 08:00,0.440,-
2023-04-03,大虎,02-04 08:00,0.300,-
2023-04-04,迁江,04-04 08:00,61.14,966
2023-04-04,梧州（四）,04-04 08:00,3.22,2660
2023-04-04,高要,04-04 08:00,0.60,5570
2023-04-04,柳州,04-04 08:00,77.35,92
2023-04-04,金鸡（二）,04-04 08:00,27.46,30
2023-04-04,南宁（三）,04-04 08:00,66.93,555
2023-04-04,贵港,04-04 08:00,31.09,311
2023-04-04,石角,04-04 08:00,1.36,1740
2023-04-05,迁江,04-05 08:00,60.13,666
2023-04-05,梧州（四）,04-05 08:00,3.43,2890
2023-04-05,高要,04-05 08:00,0.71,4880
2023-04-05,柳州,04-05 08:00,77.35,170
2023-04-05,金鸡（二）,04-05 08:00,27.37,28
2023-04-05,南宁（三）,04-05 08:00,66.99,526
2023-04-05,贵港,04-05 08:00,31.06,346
2023-04-05,石角,04-05 08:00,4.66,4700
2023-04-06,迁江,02-04 08:00,59.670,503.000
2023-04-06,武宣,02-04 08:00,51.770,1520.000
2023-04-06,大湟江口(二),02-04 08:00,20.570,1920.000
2023-04-06,梧州（四）,02-04 08:00,2.100,1820.000
2023-04-06,高要,02-04 08:00,0.570,-433.000
2023-04-06,柳州,02-04 08:00,77.000,143.000
2023-04-06,对亭,02-04 08:00,71.570,20.500
2023-04-06,太平,02-04 08:00,33.970,72.900
2023-04-06,金鸡（二）,02-04 08:00,27.350,28.000
2023-04-06,南宁（三）,02-04 08:00,67.050,383.000
2023-04-06,贵港,02-04 08:00,31.240,282.000
2023-04-06,石角,02-04 08:00,0.620,320.000
2023-04-06,天河(二),02-04 08:00,0.860,2360.000
2023-04-06,冯马庙(二),02-04 08:00,0.440,-
2023-04-06,大虎,02-04 08:00,0.300,-
2023-04-15,迁江,02-04 08:00,59.670,503.000
2023-04-15,武宣,02-04 08:00,51.770,1520.000
2023-04-15,大湟江口(二),02-04 08:00,20.570,1920.000
2023-04-15,梧州（四）,02-04 08:00,2.100,1820.000
2023-04-15,高要,02-04 08:00,0.570,-433.000
2023-04-15,柳州,02-04 08:00,77.000,143.000
2023-04-15,对亭,02-04 08:00,71.570,20.500
2023-04-15,太平,02-04 08:00,33.970,72.900
2023-04-15,金鸡（二）,02-04 08:00,27.350,28.000
2023-04-15,南宁（三）,02-04 08:00,67.050,383.000
2023-04-15,贵港,02-04 08:00,31.240,282.000
2023-04-15,石角,02-04 08:00,0.620,320.000
2023-04-15,天河(二),02-04 08:00,0.860,2360.000
2023-04-15,冯马庙(二),02-04 08:00,0.440,-
2023-04-15,大虎,02-04 08:00,0.300,-
2023-04-16,迁江,02-04 08:00,59.670,503.000
2023-04-16,武宣,02-04 08:00,51.770,1520.000
2023-04-16,大湟江口(二),02-04 08:00,20.570,1920.000
2023-04-16,梧州（四）,02-04 08:00,2.100,1820.000
2023-04-16,高要,02-04 08:00,0.570,-433.000
2023-04-16,柳州,02-04 08:00,77.000,143.000
2023-04-16,对亭,02-04 08:00,71.570,20.500
2023-04-16,太平,02-04 08:00,33.970,72.900
2023-04-16,金鸡（二）,02-04 08:00,27.350,28.000
2023-04-16,南宁（三）,02-04 08:00,67.050,383.000
2023-04-16,贵港,02-04 08:00,31.240,282.000
2023-04-16,石角,02-04 08:00,0.620,320.000
2023-04-16,天河(二),02-04 08:00,0.860,2360.000
2023-04-16,冯马庙(二),02-04 08:00,0.440,-
2023-04-16,大虎,02-04 08:00,0.300,-
2023-04-17,迁江,04-17 08:00,60.84,877
2023-04-17,梧州（四）,04-17 08:00,2.88,2340
2023-04-17,高要,04-17 08:00,0.15,5470
2023-04-17,柳州,04-17 08:00,77.44,163
2023-04-17,金鸡（二）,04-17 08:00,27.93,66
2023-04-17,南宁（三）,04-17 08:00,66.99,505
2023-04-17,贵港,04-17 08:00,31.03,380
2023-04-17,石角,04-17 08:00,0.07,672
2023-04-18,迁江,04-18 08:00,60.80,865
2023-04-18,梧州（四）,04-18 08:00,2.96,2410
2023-04-18,高要,04-18 08:00,0.29,5460
2023-04-18,柳州,04-18 08:00,77.53,118
2023-04-18,金鸡（二）,04-18 08:00,27.94,67
2023-04-18,南宁（三）,04-18 08:00,66.97,393
2023-04-18,贵港,04-18 08:00,31.09,311
2023-04-18,石角,04-18 08:00,0.41,693
2023-04-26,迁江,04-26 08:00,59.87,598
2023-04-26,梧州（四）,04-26 08:00,4.75,4370
2023-04-26,高要,04-26 08:00,0.56,6260
2023-04-26,柳州,04-26 08:00,77.46,86
2023-04-26,金鸡（二）,04-26 08:00,28.63,265
2023-04-26,南宁（三）,04-26 08:00,66.98,528
2023-04-26,贵港,04-26 08:00,31.14,368
2023-04-26,石角,04-26 08:00,1.13,2080
2023-04-30,迁江,04-30 08:00,59.88,600
2023-04-30,梧州（四）,04-30 08:00,5.72,5450
2023-04-30,高要,04-30 08:00,0.32,5580
2023-04-30,柳州,04-30 08:00,77.51,1670
2023-04-30,金鸡（二）,04-30 08:00,27.91,63
2023-04-30,南宁（三）,04-30 08:00,66.98,777
2023-04-30,贵港,04-30 08:00,31.65,931
2023-04-30,石角,04-30 08:00,0.89,1850
