日期,站名,水位八点,库容八点,水位实时,库容实时,水位控制,库容控制,控制百分比
2023-04-30,力洋水库,41.84,869,41.84,869,44.50,1102,78.9%
2023-04-30,仓岙水库,56.63,188,56.59,187,72.83,925,20.3%
2023-04-30,大塘港水库,0.36,2087,0.34,2073,0.85,2420,85.7%
2023-04-30,隔溪张水库,91.50,472,91.50,472,102.93,913,51.7%
2023-04-30,上张水库,28.56,961,28.55,960,35.00,1817,52.8%
2023-04-30,溪口水库,46.93,500,46.93,500,52.55,953,52.4%
2023-04-30,总计（32）,,61563,,61544,,114898,53.6%
2023-04-30,周公宅水库,211.72,5819,211.72,5819,231.13,9570,60.8%
2023-04-30,皎口坝上,58.18,4337,58.09,4310,68.08,7808,55.2%
2023-04-30,亭下水库,67.42,3921,67.46,3933,82.65,10000,39.3%
2023-04-30,横山水库,86.87,2416,86.87,2416,109.67,7650,31.6%
2023-04-30,四明湖水库,13.33,4949,13.32,4939,16.28,7946,62.2%
2023-04-30,白溪水库,141.55,6676,141.57,6680,170.00,14500,46.1%
2023-04-30,溪下水库,33.25,220,33.29,222,55.00,2074,10.7%
2023-04-30,东钱湖水库,3.11,3395,3.11,3395,3.75,4429,76.7%
2023-04-30,横溪水库,22.53,942,22.52,941,31.42,2516,37.4%
2023-04-30,梅溪水库,37.23,819,37.22,818,46.61,1816,45.0%
2023-04-30,三溪浦水库,28.80,1637,28.79,1635,32.62,2534,64.5%
2023-04-30,十字路水库,19.31,1255,19.31,1255,23.62,1856,67.6%
2023-04-30,新路岙水库,11.25,249,11.29,251,21.46,1077,23.3%
2023-04-30,梁辉水库,34.08,988,34.04,983,45.00,2476,39.7%
2023-04-30,陆埠水库,39.71,1051,39.70,1050,46.19,1830,57.4%
2023-04-30,双溪口水库,51.46,1376,51.41,1371,62.50,2525,54.3%
2023-04-30,里杜湖水库,9.53,707,9.54,709,15.71,1703,41.6%
2023-04-30,梅湖水库,12.30,475,12.26,471,20.13,1304,36.2%
2023-04-30,上林湖水库,5.63,529,5.61,526,9.92,1299,40.5%
2023-04-30,郑徐水库,2.88,3342,2.88,3342,4.50,4246,78.7%
2023-04-30,四灶浦水库,4.98,1418,4.96,1409,6.13,1921,73.3%
2023-04-30,西溪水库,126.44,2936,126.25,2908,147.00,7100,41.0%
2023-04-30,黄坛水库,76.91,983,77.30,1015,78.80,1150,88.2%
2023-04-30,杨梅岭水库,22.51,572,22.60,585,24.11,833,70.2%
2023-04-30,胡陈港水库,-0.28,4804,-0.26,4822,0.55,5585,86.3%
2023-04-30,车岙港水库,3.52,670,3.52,670,4.52,1020,65.7%
2023-04-30,力洋水库,41.84,869,41.83,868,44.50,1102,78.8%
2023-04-30,仓岙水库,56.63,188,56.62,188,72.83,925,20.3%
2023-04-30,大塘港水库,0.36,2087,0.36,2087,0.85,2420,86.2%
2023-04-30,隔溪张水库,91.50,472,91.50,472,102.93,913,51.7%
2023-04-30,上张水库,28.56,961,28.54,959,35.00,1817,52.8%
2023-04-30,溪口水库,46.93,500,46.92,499,52.55,953,52.4%
2023-04-30,总计（32）,,61563,,61548,,114898,53.6%
2023-05-01,周公宅水库,211.72,5819,211.86,5842,231.13,9570,61.0%
2023-05-01,皎口坝上,58.06,4301,57.96,4271,68.08,7808,54.7%
2023-05-01,亭下水库,67.48,3939,67.53,3954,82.65,10000,39.5%
2023-05-01,横山水库,86.85,2413,86.83,2409,109.67,7650,31.5%
2023-05-01,四明湖水库,13.32,4939,13.31,4929,16.28,7946,62.0%
2023-05-01,白溪水库,141.62,6690,141.54,6673,170.00,14500,46.0%
2023-05-01,溪下水库,33.31,222,33.34,223,55.00,2074,10.8%
2023-05-01,东钱湖水库,3.10,3376,3.10,3376,3.75,4429,76.2%
2023-05-01,横溪水库,22.51,939,22.49,937,31.42,2516,37.2%
2023-05-01,梅溪水库,37.22,818,37.19,816,46.61,1816,44.9%
2023-05-01,三溪浦水库,28.81,1639,28.78,1633,32.62,2534,64.4%
2023-05-01,十字路水库,19.31,1255,19.31,1255,23.62,1856,67.6%
2023-05-01,新路岙水库,11.33,253,11.32,253,21.46,1077,23.4%
2023-05-01,梁辉水库,34.01,980,33.97,976,45.00,2476,39.4%
2023-05-01,陆埠水库,39.70,1050,39.69,1049,46.19,1830,57.3%
2023-05-01,双溪口水库,51.36,1367,51.32,1363,62.50,2525,54.0%
2023-05-01,里杜湖水库,9.54,709,9.54,709,15.71,1703,41.6%
2023-05-01,梅湖水库,12.23,469,12.18,465,20.13,1304,35.6%
2023-05-01,上林湖水库,5.60,524,5.57,520,9.92,1299,40.0%
2023-05-01,郑徐水库,2.87,3337,2.87,3337,4.50,4246,78.6%
2023-05-01,四灶浦水库,4.95,1405,4.94,1400,6.13,1921,72.9%
2023-05-01,西溪水库,126.26,2909,126.29,2914,147.00,7100,41.0%
2023-05-01,黄坛水库,77.25,1010,77.10,996,78.80,1150,86.6%
2023-05-01,杨梅岭水库,22.64,590,22.71,599,24.11,833,72.0%
2023-05-01,胡陈港水库,-0.26,4822,-0.26,4822,0.55,5585,86.3%
2023-05-01,车岙港水库,3.52,670,3.51,666,4.52,1020,65.3%
2023-05-01,力洋水库,41.81,867,41.79,865,44.50,1102,78.5%
2023-05-01,仓岙水库,56.64,189,56.62,188,72.83,925,20.3%
2023-05-01,大塘港水库,0.36,2087,0.37,2094,0.85,2420,86.5%
2023-05-01,隔溪张水库,91.51,472,91.51,472,102.93,913,51.7%
2023-05-01,上张水库,28.52,956,28.51,955,35.00,1817,52.6%
2023-05-01,溪口水库,46.91,498,46.88,496,52.55,953,52.1%
2023-05-01,总计（32）,,61514,,61457,,114898,53.5%
2023-05-02,周公宅水库,211.86,5842,211.99,5863,231.13,9570,61.3%
2023-05-02,皎口坝上,57.93,4262,57.83,4232,68.08,7808,54.2%
2023-05-02,亭下水库,67.54,3957,67.59,3972,82.65,10000,39.7%
2023-05-02,横山水库,86.81,2406,86.79,2403,109.67,7650,31.4%
2023-05-02,四明湖水库,13.30,4919,13.29,4910,16.28,7946,61.8%
2023-05-02,白溪水库,141.57,6680,141.45,6655,170.00,14500,45.9%
2023-05-02,溪下水库,33.35,224,33.36,224,55.00,2074,10.8%
2023-05-02,东钱湖水库,3.10,3376,3.10,3376,3.75,4429,76.2%
2023-05-02,横溪水库,22.49,937,22.46,933,31.42,2516,37.1%
2023-05-02,梅溪水库,37.17,814,37.15,812,46.61,1816,44.7%
2023-05-02,三溪浦水库,28.78,1633,28.76,1628,32.62,2534,64.3%
2023-05-02,十字路水库,19.31,1255,19.31,1255,23.62,1856,67.6%
2023-05-02,新路岙水库,11.37,255,11.35,254,21.46,1077,23.6%
2023-05-02,梁辉水库,33.94,973,33.89,967,45.00,2476,39.1%
2023-05-02,陆埠水库,39.69,1049,39.68,1048,46.19,1830,57.3%
2023-05-02,双溪口水库,51.27,1359,51.22,1354,62.50,2525,53.6%
2023-05-02,里杜湖水库,9.54,709,9.57,713,15.71,1703,41.9%
2023-05-02,梅湖水库,12.16,463,12.11,458,20.13,1304,35.2%
2023-05-02,上林湖水库,5.56,518,5.54,515,9.92,1299,39.7%
2023-05-02,郑徐水库,2.87,3337,2.87,3337,4.50,4246,78.6%
2023-05-02,四灶浦水库,4.93,1396,4.92,1392,6.13,1921,72.4%
2023-05-02,西溪水库,126.30,2915,126.36,2924,147.00,7100,41.2%
2023-05-02,黄坛水库,77.02,990,76.86,980,78.80,1150,85.2%
2023-05-02,杨梅岭水库,22.74,604,22.78,609,24.11,833,73.2%
2023-05-02,胡陈港水库,-0.26,4822,-0.26,4822,0.55,5585,86.3%
2023-05-02,车岙港水库,3.51,666,3.51,666,4.52,1020,65.3%
2023-05-02,力洋水库,41.78,865,41.76,863,44.50,1102,78.3%
2023-05-02,仓岙水库,56.62,188,56.59,187,72.83,925,20.3%
2023-05-02,大塘港水库,0.36,2087,0.37,2094,0.85,2420,86.5%
2023-05-02,隔溪张水库,91.51,472,91.51,472,102.93,913,51.7%
2023-05-02,上张水库,28.48,951,28.46,949,35.00,1817,52.2%
2023-05-02,溪口水库,46.87,496,46.84,494,52.55,953,51.8%
2023-05-02,总计（32）,,61420,,61361,,114898,53.4%
