日期,站名,时间,水位,出库,入库,库容
2023-05-05,长洲枢纽,05-05 08:00,18.93,2800,5100,1575
2023-05-05,西津,05-05 08:00,59.69,259,282,722
2023-05-05,百色水库,05-05 08:00,208.02,81,51,2582
2023-05-05,飞来峡（坝上）,05-05 08:00,23.20,1420,1000,367
2023-05-05,棉花滩水库,05-05 08:00,151.98,NaN,NaN,746
2023-05-05,天生桥(一级),05-05 08:00,748.88,719,100,4156
2023-05-05,龙滩,05-05 08:00,339.85,610,1166,6712
2023-05-05,岩滩,05-05 08:00,218.90,444,661,1760
2023-05-05,长洲枢纽,05-05 08:00,18.93,2800,5100,1575
2023-05-05,西津,05-05 08:00,59.69,259,282,722
2023-05-05,百色水库,05-05 08:00,208.02,81,51,2582
2023-05-05,飞来峡（坝上）,05-05 08:00,23.20,1420,1000,367
2023-05-05,棉花滩水库,05-05 08:00,151.98,NaN,NaN,746
