damel,时间,省,流域,河名,库水位(米),站点编号,站名,蓄水量(百万3),入库(米3/秒)
0,2023-04-26 14:00:00,甘肃省,长江,白龙江,698.5,60706825,碧口水库,90,253
0,2023-04-26 14:00:00,贵州省,长江,乌江,730.64,60800520,乌江渡水电站,1057,0
0,2023-04-26 14:00:00,贵州省,长江,猫跳河,1230.787,60805700,红枫水库,229,0
0,2023-04-26 14:00:00,贵州省,长江,猫跳河,1191.27,60805809,百花水库,133,0
0,2023-04-26 14:00:00,湖北省,长江,郁江,1464.77,60811560,福宝山水库,4,0
0,2023-04-26 14:00:00,湖北省,长江,黄柏河,300.1,60900610,西北口水库,65,0
0,2023-04-26 14:00:00,湖北省,长江,玛瑙河,167.56,60903700,白河水库,8,0
0,2023-04-26 14:00:00,湖北省,长江,印河,145.77,60908800,跑马水库,22,0
0,2023-04-26 14:00:00,湖北省,长江,漳河,115.08,60911010,李家州,417,0
0,2023-04-26 14:00:00,湖北省,长江,漳河,115.07,60917010,烟墩,593,0
0,2023-04-26 14:00:00,湖北省,长江,花庙河,85.11,60918000,石子岭水库,9,0
0,2023-04-26 14:00:00,湖北省,长江,长江,75.97,60931200,鲁家港水库,12,0
0,2023-04-26 14:00:00,湖北省,长江,巩河,124.92,60938000,巩河水库,66,0
0,2023-04-26 14:00:00,湖北省,长江,清江,369.082,61002791,水布垭(坝上),2662,41
0,2023-04-26 14:00:00,湖北省,长江,清江,185.7,61003101,隔河岩(坝上),2156,59
0,2023-04-26 14:00:00,湖北省,长江,清江,79.41,61004710,高坝洲(坝上),386,1
0,2023-04-26 14:00:00,湖北省,长江,车坝河,720.41,61004950,车坝水库,23,0
0,2023-04-26 14:00:00,湖北省,长江,沮漳河,36.72,61013300,太湖港水库,26,0
0,2023-04-26 14:00:00,湖南省,长江,江华水,299.61,61103150,涔天河,774,133
0,2023-04-26 14:00:00,湖南省,长江,湘江,164.21,61103450,双牌,225,384
0,2023-04-26 14:00:00,湖南省,长江,舂陵水,127.03,61105650,欧阳海,209,182
0,2023-04-26 14:00:00,湖南省,长江,耒水,271.37,61108050,东江,6103,125
0,2023-04-26 08:00:00,湖南省,长江,攸水,155.37,61111500,酒埠江,127,27
0,2023-04-26 08:00:00,湖南省,长江,永乐江,228.48,61111750,青山垅,30,10
0,2023-04-26 08:00:00,湖南省,长江,涟水,88.4,61113550,水府庙,173,65
0,2023-04-26 08:00:00,湖南省,长江,沩水,148.29,61116200,黄材,40,6
0,2023-04-26 08:00:00,湖南省,长江,涧江,110.33,61140750,官庄,38,11
0,2023-04-26 14:00:00,湖南省,长江,资水,154.24,61201300,柘溪,1320,469
0,2023-04-26 14:00:00,湖南省,长江,沅水,94.89,61302350,五强溪,1401,1695
0,2023-04-26 14:00:00,湖南省,长江,酉水,193.32,61312550,凤滩,929,405
0,2023-04-26 14:00:00,湖北省,长江,新峡河,524.63,61312950,新峡水库,22,0
0,2023-04-26 08:00:00,湖南省,长江,白洋河,82.22,61315100,黄石,218,13
0,2023-04-26 14:00:00,湖北省,长江,洈水,87.17,61501000,洈水水库,232,0
0,2023-04-26 14:00:00,湖北省,长江,界溪河,47.76,61501150,卷桥水库,3,0
0,2023-04-26 14:00:00,湖南省,长江,涔水,72.99,61504200,王家厂,0,0
0,2023-04-26 14:00:00,湖北省,长江,新河,118.6,61520250,北河水库,13,0
0,2023-04-26 08:00:00,湖南省,长江,新墙河,87.61,61534300,铁山,377,27
0,2023-04-26 14:00:00,湖北省,长江,富水,50.33,61606600,富水,534,0
0,2023-04-26 08:00:00,湖北省,长江,湄港,119.9,61607280,雨山水库,6,0
0,2023-04-26 08:00:00,湖北省,长江,宋家港,239.44,61607350,石门塘水库,0,0
0,2023-04-26 14:00:00,湖北省,长江,三溪河,63.22,61608180,王英,314,0
0,2023-04-26 08:00:00,湖北省,长江,泊漠河,51.81,61609500,院基寺,52,0
0,2023-04-26 08:00:00,湖北省,长江,泊漠河,48.24,61609510,泥河,14,0
0,2023-04-26 14:00:00,湖北省,长江,栗树河,57.13,61609700,梅店,43,0
0,2023-04-26 14:00:00,湖北省,长江,夏家河,47.51,61609810,夏家寺,147,0
0,2023-04-26 14:00:00,湖北省,长江,檀树岗河,106.1,61610700,檀树岗,31,0
0,2023-04-26 14:00:00,湖北省,长江,张家河,113.07,61610750,八角庙,9,0
0,2023-04-26 14:00:00,湖北省,长江,四马河,113.14,61610810,烟宝地,29,0
0,2023-04-26 14:00:00,湖北省,长江,火莲畈,77.52,61610900,火莲畈,7,0
0,2023-04-26 14:00:00,湖北省,长江,金沙河,66.31,61611010,金沙河,75,0
0,2023-04-26 14:00:00,湖北省,长江,芭茅河,116.52,61612580,芭茅河,5,0
0,2023-04-26 14:00:00,湖北省,长江,阎家河,142.1,61612610,三河口,81,0
0,2023-04-26 14:00:00,湖北省,长江,白杲河,89.17,61613010,明山,82,0
0,2023-04-26 14:00:00,湖北省,长江,浮桥河,59.76,61614200,浮桥河,139,0
0,2023-04-26 14:00:00,湖北省,长江,杨家河,65.68,61614410,尾斗山,55,0
0,2023-04-26 14:00:00,湖北省,长江,沙河,74.24,61615000,道观河,45,0
0,2023-04-26 14:00:00,湖北省,长江,新昌河,286.57,61615810,天堂,57,0
0,2023-04-26 14:00:00,湖北省,长江,新昌河,245.83,61615820,天堂二级,8,0
0,2023-04-26 14:00:00,湖北省,长江,浠水,95.92,61617810,白莲河,379,0
0,2023-04-26 14:00:00,湖北省,长江,西河,236.75,61619298,张家嘴,47,0
0,2023-04-26 14:00:00,湖北省,长江,蕲水,114.01,61619410,大同,108,0
0,2023-04-26 14:00:00,湖北省,长江,蕲水,87.91,61619800,花园,48,0
0,2023-04-26 08:00:00,湖北省,长江,石门港,159.94,61625400,石门水库,11,0
0,2023-04-26 14:00:00,湖北省,长江,长河,170.22,61649400,跨马墩,16,0
0,2023-04-26 14:00:00,湖北省,长江,长河,169.45,61650000,凤凰关,11,0
0,2023-04-26 08:00:00,湖北省,长江,巴水,72.13,61651200,牛车河,56,0
0,2023-04-26 14:00:00,湖北省,长江,新桥河,45.12,61658300,鹞鹰岩,8,0
0,2023-04-26 14:00:00,湖北省,长江,雷溪河,81.23,61658400,黄河厂,4,0
0,2023-04-26 14:00:00,湖北省,长江,陆水,50.08,61705000,陆水水库,347,90
0,2023-04-26 14:00:00,湖北省,长江,鲤港,159.31,61706500,阁壁,4,0
0,2023-04-26 14:00:00,湖北省,长江,何家港,192.81,61707500,龙潭,5,0
0,2023-04-26 14:00:00,湖北省,长江,青山河,115.8,61708010,青山,247,0
0,2023-04-26 14:00:00,湖北省,长江,陆马河,26.17,61710900,三湖连江,50,0
0,2023-04-26 08:00:00,湖北省,长江,汀泗河,86.62,61711500,双石水库,9,0
0,2023-04-26 14:00:00,湖北省,长江,淦河,99.65,61712900,南川,55,0
0,2023-04-26 14:00:00,湖北省,长江,易家段河,422.08,61726000,百丈潭,3,0
0,2023-04-26 08:00:00,湖北省,长江,黄水河,84.05,61749000,四门楼水库,12,0
0,2023-04-26 14:00:00,陕西省,长江,汉江,404.63,61800850,石泉,170,340
0,2023-04-26 08:00:00,陕西省,长江,汉江,361.39,61800950,喜河,160,370
0,2023-04-26 14:00:00,陕西省,长江,汉江,318.25,61801250,安康库,1777,426
0,2023-04-26 14:00:00,湖北省,长江,汉江,154.75,61802700,丹江口水库,14065,1630
0,2023-04-26 14:00:00,陕西省,长江,岚河,497.26,61810550,蔺河口,92,44
0,2023-04-26 14:00:00,湖北省,长江,堵河,232.61,61902580,黄龙滩,455,187
0,2023-04-26 14:00:00,湖北省,长江,霍河,334.92,61905710,霍河,64,0
0,2023-04-26 14:00:00,湖北省,长江,北河,138.95,61909010,潭口,27,0
0,2023-04-26 14:00:00,湖北省,长江,南河,150.03,61910310,南河,48,0
0,2023-04-26 14:00:00,湖北省,长江,红水河,112.88,61915600,红水河,23,0
0,2023-04-26 14:00:00,湖北省,长江,柳堰河,122.05,61915700,柳堰集,7,0
0,2023-04-26 14:00:00,湖北省,长江,莺河,130.67,61915980,莺河一库,63,0
0,2023-04-26 14:00:00,湖北省,长江,蛮河,140.14,61918010,三道河,76,0
0,2023-04-26 14:00:00,湖北省,长江,黑河,138.95,61919210,云台山,19,0
0,2023-04-26 14:00:00,湖北省,长江,敖水,96.3,61919710,温峡口,197,0
0,2023-04-26 14:00:00,湖北省,长江,汉江,136.8,61940700,孟桥川,44,0
0,2023-04-26 14:00:00,湖北省,长江,迴龙河,107.69,61948500,回龙河,10,0
0,2023-04-26 14:00:00,湖北省,长江,西排子河,110.88,61949700,西排子河,105,0
0,2023-04-26 14:00:00,湖北省,长江,敖水,72.38,61959000,黄坡,35,0
0,2023-04-26 14:00:00,河南省,长江,老灌河,282.55,62008500,石门,0,0
0,2023-04-26 14:00:00,河南省,长江,白河,169.0,62011000,鸭河口,332,0
0,2023-04-26 08:00:00,河南省,长江,流鸭河,229.72,62012050,辛庄,4,0
0,2023-04-26 08:00:00,河南省,长江,泗水河,156.33,62012660,冢岗庙,9,0
0,2023-04-26 08:00:00,河南省,长江,十二里河,141.73,62013750,兰营,1,0
0,2023-04-26 14:00:00,河南省,长江,赵河,215.01,62015300,赵湾,31,0
0,2023-04-26 08:00:00,河南省,长江,比河,177.12,62017000,华山,17,0
0,2023-04-26 08:00:00,河南省,长江,十八道河,182.58,62017200,宋家场,44,0
0,2023-04-26 08:00:00,河南省,长江,梁河,190.55,62017350,三山,5,0
0,2023-04-26 08:00:00,河南省,长江,丑河,131.35,62018200,虎山,10,0
0,2023-04-26 08:00:00,湖北省,长江,苍龙河,121.34,62018400,周桥,16,0
0,2023-04-26 08:00:00,湖北省,长江,沙河,196.87,62019350,石梯,39,0
0,2023-04-26 14:00:00,湖北省,长江,沙河,164.66,62019410,沙河,12,0
0,2023-04-26 08:00:00,湖北省,长江,沙河,141.18,62019450,吉河,14,0
0,2023-04-26 08:00:00,湖北省,长江,沙河,173.27,62019600,姚棚,6,0
0,2023-04-26 08:00:00,湖北省,长江,沙河,150.83,62019620,马安山,4,0
0,2023-04-26 08:00:00,陕西省,长江,银花河,131.65,62019800,洛峪*,19,0
0,2023-04-26 14:00:00,湖北省,长江,官沟河,85.92,62058450,官沟,15,0
0,2023-04-26 14:00:00,湖北省,长江,华阳河,136.82,62058700,华阳河,17,0
0,2023-04-26 14:00:00,湖北省,长江,熊河,121.11,62059200,熊河,83,0
0,2023-04-26 14:00:00,湖北省,长江,涢水,172.12,62200210,大洪山,84,0
0,2023-04-26 14:00:00,湖北省,长江,溠水,188.54,62202410,吴山,51,0
0,2023-04-26 14:00:00,湖北省,长江,溠水,113.59,62202610,黑屋湾,54,0
0,2023-04-26 14:00:00,湖北省,长江,封江口河,179.27,62203010,天河口,52,0
0,2023-04-26 14:00:00,湖北省,长江,封江口河,120.53,62203210,封江口,130,0
0,2023-04-26 14:00:00,湖北省,长江,澴水支流，晏家河,105.88,62203800,观音岩,51,0
0,2023-04-26 14:00:00,湖北省,长江,浆溪店河,104.43,62203810,先觉庙,123,0
0,2023-04-26 14:00:00,湖北省,长江,两河口河,116.35,62204210,两河口,4,0
0,2023-04-26 14:00:00,湖北省,长江,徐家河,69.17,62204810,徐家河,295,0
0,2023-04-26 14:00:00,湖北省,长江,涢水支流，漳河,92.61,62205180,郑家河,41,0
0,2023-04-26 08:00:00,湖北省,长江,澴水支流，胡家河,82.39,62205950,芳畈,22,0
0,2023-04-26 08:00:00,湖北省,长江,澴水支流，晏家河,66.64,62206420,金盆,5,0
0,2023-04-26 14:00:00,湖北省,长江,界河,97.48,62206490,滑石冲,11,0
0,2023-04-26 14:00:00,湖北省,长江,寨子河,83.23,62207610,石门,25,0
0,2023-04-26 14:00:00,湖北省,长江,鬼水,77.81,62208010,惠亭山,81,0
0,2023-04-26 14:00:00,湖北省,长江,大富水,107.99,62208800,高关,66,0
0,2023-04-26 08:00:00,湖北省,长江,大富水,54.11,62246400,短港,39,0
0,2023-04-26 14:00:00,江西省,长江流域,赣江,87.21,62301230,万安水库,428,980
0,2023-04-26 14:00:00,江西省,长江流域,云亭水,149.63,62307750,老营盘水库,43,5
0,2023-04-26 14:00:00,江西省,长江流域,富田水,173.64,62308250,白云山水库,51,13
0,2023-04-26 14:00:00,江西省,长江流域,牛吼江,152.84,62309670,南车水库,70,15
0,2023-04-26 14:00:00,江西省,长江流域,泸水,166.91,62309880,社上水库,92,19
0,2023-04-26 14:00:00,江西省,长江流域,袁水,67.17,62311050,江口,238,147
0,2023-04-26 14:00:00,江西省,长江流域,尧市,169.83,62336900,飞剑潭一坝水库,22,2
0,2023-04-26 14:00:00,江西省,长江流域,丰水,76.38,62338580,紫云山水库,38,0
0,2023-04-26 14:00:00,江西省,长江流域,秀水,62.15,62338640,潘桥水库,24,0
0,2023-04-26 14:00:00,江西省,长江流域,苏溪,78.83,62340400,上游水库,81,0
0,2023-04-26 14:00:00,江西省,长江,乐安河,71.01,62504900,共库,45,0
0,2023-04-26 14:00:00,江西省,长江,修河,61.63,62512600,柘林,4050,290
0,2023-04-26 14:00:00,江西省,长江流域,修河,205.47,62514500,大塅水库,57,19
0,2023-04-26 14:00:00,江西省,长江,土塘水,65.99,62602300,大港水库,9,0
0,2023-04-26 14:00:00,江苏省,长江,句容河,49.85,62702501,北山水库(镇江),15,0
0,2023-04-26 14:00:00,湖北省,长江,荆竹河,61.82,62802010,荆竹,21,0
0,2023-04-26 14:00:00,湖北省,长江,垅坪河,62.69,62802100,垅坪,33,0
0,2023-04-26 14:00:00,湖北省,长江,古角河,60.97,62802210,古角,15,0
0,2023-04-26 14:00:00,安徽省,长江,长河,77.08,62802800,花凉亭,810,0
0,2023-04-26 14:00:00,湖北省,长江,戴文义河,38.76,62820500,仙人坝,11,0
0,2023-04-26 14:00:00,安徽省,长　江,杭埠河,62.66,62901300,龙河口(内),282,0
0,2023-04-26 14:00:00,安徽省,长江,南淝河,25.81,62902700,董铺,45,0
0,2023-04-26 14:00:00,安徽省,长江,青弋江,111.94,62905700,陈村,1295,0
0,2023-04-26 14:00:00,安徽省,长江,襄河,40.63,62915400,黄栗树,22,0
0,2023-04-26 14:00:00,安徽省,长江,清流河,31.68,62915800,沙河集,20,0
0,2023-04-26 14:00:00,浙江省,长江流域太湖区,南苕溪,22.27,63000600,青山水库,28,0
0,2023-04-26 14:00:00,浙江省,长江流域太湖区,余英溪,40.66,63003200,对河口水库,29,0
0,2023-04-26 14:00:00,浙江省,长江流域太湖区,西溪,74.26,63006800,赋石水库,67,0
0,2023-04-26 14:00:00,浙江省,长江流域太湖区,南溪,105.44,63008800,老石坎水库,18,0
0,2023-04-26 14:00:00,江苏省,太湖,大溪水库,11.21,63101401,大溪水库,19,0
0,2023-04-26 14:00:00,江苏省,太湖,沙河水库,16.98,63101701,沙河水库,21,0
0,2023-04-26 14:00:00,江苏省,太湖,厔溪,29.07,63101901,横山水库,0,0
0,2023-04-26 14:00:00,浙江省,浙闽台河流,富春江,23.3,70101500,富春江水库,461,0
0,2023-04-26 14:00:00,浙江省,浙闽台河流,乌溪江,114.94,70106200,黄坛口水库,79,0
0,2023-04-26 14:00:00,浙江省,浙闽台河流,铜山源,131.06,70106700,铜山源水库,81,0
0,2023-04-26 14:00:00,浙江省,浙闽台河流,东阳江,152.31,70107900,横锦水库,96,0
0,2023-04-26 14:00:00,浙江省,浙闽台河流,南江,198.96,70109700,南江水库,65,0
0,2023-04-26 14:00:00,浙江省,浙闽台河流,新安江,99.68,70112000,新安江水库,13294,0
0,2023-04-26 14:00:00,浙江省,浙闽台河流,开化江,87.7,70118880,石壁水库,34,0
0,2023-04-26 14:00:00,浙江省,浙闽台河流,陈蔡江,78.3,70119000,陈蔡水库,40,0
0,2023-04-26 14:00:00,浙江省,浙闽台河流,新昌江,118.56,70203600,长诏水库,65,0
0,2023-04-26 14:00:00,浙江省,浙闽台河流,南山江,111.16,70204500,南山水库,43,0
0,2023-04-26 14:00:00,浙江省,浙闽台河流,剡江,67.41,70300450,亭下水库,39,0
0,2023-04-26 14:00:00,浙江省,浙闽台河流,樟溪,58.52,70301600,皎口水库,44,0
0,2023-04-26 14:00:00,浙江省,浙闽台河流,县江,87.0,70302500,横山水库,24,0
0,2023-04-26 14:00:00,浙江省,浙闽台河流,始丰溪,171.75,70402900,里石门水库,95,0
0,2023-04-26 14:00:00,浙江省,浙闽台河流,逆溪,34.37,70404100,牛头山水库,59,0
0,2023-04-26 14:00:00,浙江省,浙闽台河流,永宁江,24.52,70404400,长潭水库,133,0
0,2023-04-26 14:00:00,浙江省,浙闽台河流,龙泉溪,173.09,70501100,紧水滩水库,704,0
0,2023-04-26 14:00:00,福建省,闽江,九龙溪,253.83,70900550,安砂水库,350,0
0,2023-04-26 14:00:00,福建省,闽江,沙溪,85.37,70900950,沙溪口水库,114,0
0,2023-04-26 08:00:00,福建省,闽江,金溪,260.71,71010490,池潭水库,296,217
0,2023-04-26 14:00:00,福建省,闽江,建溪,257.44,71110260,东溪水库,53,0
0,2023-04-26 14:00:00,福建省,闽江,闽江,58.31,71200400,水口水库,1735,0
0,2023-04-26 14:00:00,福建省,闽江,尤溪,139.87,71210520,水东水库,81,0
0,2023-04-26 08:00:00,福建省,闽江,屏山溪,605.15,71210780,坑口水库,13,0
